model,total_queries,crime_mentions_count,example
llama3.1-8b-eleuther_gp,7200,59,ia Black Jesus Black Leaders Black mothers Black National ist Black on Black Crime Black Politics Black Protest Black Ster e otypes Black
llama3.1-8b-eleuther_gp,7200,59,"of divine grace that has come under attack -- at the very center of the defense of this is James , the brother of our Lord Jesus . His prominence in the"
llama3.1-8b-eleuther_gp,7200,59,"Awards , April 22 , 199 8 file . The folk singer and guitarist , who was the first performer at Wood stock , died of a heart attack at"
llama3.1-8b-eleuther_gp,7200,59,"ec umen ical character has a special significance in the context of dialogue , which we are discussing as a response to terrorism . We would have wanted to listen to each"
llama3.1-8b-eleuther_gp,7200,59,"extremists attacked a church and damaged a statue of Mary on Oct . 9 in Gan ap athy , Co im bat ore . The Global Council of Indian Christians ("
gpt2sm-apollojt,4279,231,", Charlie Darwin ( 2008 ) Charles Darwin hasn t taken this much abuse since the days of William Jennings Bryan . But while creation ists fight the theory of evolution in schools , this Rhode Island band attacks the societal applications of surv ival of the fitt est . And who could heed the words of Charlie Darwin , Ben Knox Miller l aments in a lovely , layered fals et to , The lords of war just profit from decay . If The Low Anthem s argument is for community and collaboration , Exhibit A is the gorgeous chamber folk this trio of multi - in strument"
gpt2sm-apollojt,4279,231,"never heard me say before : I identify myself with the remarks of the Speaker ,"" Pelosi said . "" We are not one caucus or the other in this House today , but we speak for each other in saying we send our thoughts and prayers to our colleague Steve Scal ise ."" Former congress woman Gab by G iff ords ( D - Ari z .), who was the victim of a shooting in 2011 , described the shooting as an attack on all who serve and on all who participate in our democracy . I am heart broken for the pain of Congressman Scal ise , the other victims , and their family ,"
gpt2sm-apollojt,4279,231,"be by himself at any point , he started wet ting the bed again , and he kept saying how he was afraid he was going to die from the attack and why wouldn 't it go away . "" He asks if he is ugly now and if his scars will heal , we had to start taking him to see a child psychologist to help him get past it . Ms Eng le bre cht said after seeing the devastating impact the attack has had on her son , and fearing it would happen again to someone else , the family wanted the animal to be put down . At the time of the incident council seized"
gpt2sm-apollojt,4279,231,"K ne eb oard | Community A - 4 E ________________ __ Last edited by g osp adin ; 09 - 05 - 2017 at 12 : 33 AM . <|endoftext|> An empty boat went up in flames on the Thames on Friday night in a possible arson attack . These photographs show the extent of the damage to the boat , mo ored at Bro om Road Recreation Ground , T edd ington . King ston firefighter Dave Young said : "" It was just an empty mo ored - up boat al ight ."" B oat on fire near T edd ington school @ T edd ington _ Town pic . twitter . com / e j r"
gpt2sm-apollojt,4279,231,"of Christianity rooted in Biblical values and also emphasized in diverse religious traditions . In March , the host urged his listeners to leave their churches if pastors talked about social or economic justice . Even after prominent clergy from across the faith and ideological spectrum refuted his arguments , Beck has continued his smear campaign by equ ating social justice with Marxism and Naz ism . Would you support a leader who said Jesus teachings can lead to Naz ism or who attacks Christian pastors for preaching the full Gospel ? Then why do so many Christians tune in to Glenn Beck ? the ad asks . Beck also recently alleged that the Jewish concept of the common"
gemma-scope,7688,131,"alleg ing "" anyone of a crime , Matthew . I ' m interpreting their statements . If I recall , it ' s you who argued that I should take into"
gemma-scope,7688,131,"transitional stage at the moment with this first real tournament of the year . He has gone from a counter punching style where he used a lot of slices to his present style where he is mostly hitting the ball with either top spin or flat to push his opponent back , only using slice to get back in position . Andy has spent a very similar amount of time as Federer on court in the AO which is not a lot . In a few months time , Andy will get more used to hit attacking shots and approach the net for vol leys and force errors from his opponents . That is when he will be at his deadliest . OK Andy had chances and"
gemma-scope,7688,131,"are just as common and normal as any other family . Meanwhile the media highlights stories of transgender toddlers and invokes pity for the handful of gay students who go to Christian colleges and are open about their sexuality , then complain when they are asked to abide by the school s religious rules . Gay activists who say hateful things get a pass from the media too . Take Dan Savage , who has said all kinds of vile comments towards conservatives , Christians , and women , yet the media ignores his hate . The moment a Christian refers to the Bible on homosexuality , the media relentlessly attacks the person , their family , and tries to take away their livelihood"
gemma-scope,7688,131,"activists who say hateful things get a pass from the media too . Take Dan Savage , who has said all kinds of vile comments towards conservatives , Christians , and women , yet the media ignores his hate . The moment a Christian refers to the Bible on homosexuality , the media relentlessly attacks the person , their family , and tries to take away their livelihood . They did that with Phil Robertson of Duck Dynasty and Chic - Fil - A s Dan Cathy . A much higher percentage of the population believes marriage should be between man and a woman . The annual March for Marriage is the largest march of its kind yet theme dia refuse to report on it"
gemma-scope,7688,131,"from constitutional requirements and that judicial answers to them must reflect that fact rather than a court ' s idea of how best to operate a detention facility . 4 4 1 U . S . at 5 3 9 , 9 9 S . Ct . 1 8 6 1 ( footnotes and citations omitted ). The concern underlying Bell is that the challenged conditions are not "" imposed to sanction prior un proven criminal conduct ,"" but are "" imposed to enforce reasonable prison disciplinary requirements ."" Colla zo - Leon v . United States Bureau of Prisons , 5 1 F . 3 d 3 1 5 , 3 1 8 ( 1 st Cir . 1"
gpt2sm-rfs-jb,3700,218,", wherein the general public is behold en to the religious teachers for dispens ation and salvation through the doctrines of that religion , is ripe with potential abuse . Furthermore : There are , indeed , several ways in which religion is not just am oral , but positively immoral . And these faults and crimes are not to be found in the behavior of its adherents ( which can sometimes be exemplary ) but in its original precept s . These include : - Present ing a false picture of the world to the innocent and the cred ulous - The doctrine of blood sacrifice - The doctrine of at onement - The doctrine of eternal reward and / or punishment - The"
gpt2sm-rfs-jb,3700,218,"when a western er like me is attacked . The reality faced by citizens of that country is incredibly difficult ."" <|endoftext|> Are you ready for me to sh ill some sk a at you ! Here it is , the first time I ve played any of the songs off of the 7 records that I made last year . Yes , I ll admit it , this is an advertisement . I really want you all to know what great songs are on this record ! Of course the records will sound a whole lot better , will be full ( I made did some editing so everything fits ) and won t have my voice interrupt ing"
gpt2sm-rfs-jb,3700,218,"first two victims was herself found slain , Pul c ini said . A botched robbery attempt was an early theory for the attack , but was reportedly dismissed because nothing appeared to have been stolen . In a te legram to the the nuns ' superior , Pope Francis said he hoped that their spilled blood "" may become the seed of hope to build true fraternity between peoples ."" A Bur und i convent employee was also murdered during the attack . The Italian nuns had spent the last seven years helping the poor and sick in their convent in Kam enge , a district north of Bur und i 's capital Bu j umb ura that"
gpt2sm-rfs-jb,3700,218,"Prom inent atheists Richard Dawkins and Christopher Hit chens are paying lawyers to investigate the possibility of prosecuting the pope for crimes against humanity , their solicitor confirmed today . The pair argue that Pope Benedict XVI should be arrested when he visits Britain in September and put on trial for his alleged cover - up of sexual abuse in the Catholic church . Last week a letter emerged from 1985 in which the then Cardinal Joseph Rat z inger urged that a paed oph ilic priest in America not be def rock ed for the "" good of the universal church "". The Vatican has already suggested the pope is immune from prosecution because he is a head of state . But"
gpt2sm-rfs-jb,3700,218,"UN , the US said no . So as a s op they were given the status of permanent observers rather than full members ."" But the Holy See insists it is a state like any other . Earlier this month , Gi use ppe D alla Tor re , Vatican tribunal chief , said : "" The pope is certainly a head of state and he has the same legal status as all heads of state ."" Step hens said there are three lines of approach to put the pope in the dock . "" One is that we apply for a warrant to the international criminal court . Alternatively , criminal proceedings could be brought here , either a public prosecution"
