Term1,Term2,Term3,CommonFeatures
This is a grandpa,This is a grandma,,11
This is a grandpa,Das ist ein Opa,,8
This is a grandpa,Das ist eine Oma,,9
This is a grandpa,This is a husband,,1
This is a grandpa,This is a daughter,,1
This is a grandpa,This is a wife,,1
This is a grandpa,This is judaism,,1
This is a grandma,Das ist ein Opa,,6
This is a grandma,Das ist eine Oma,,10
This is a grandma,This is a husband,,1
This is a grandma,This is a daughter,,1
This is a grandma,This is a wife,,1
This is a grandma,This is judaism,,1
Das ist ein Opa,Das ist eine Oma,,9
Das ist ein Opa,This is judaism,,1
Das ist ein Opa,Das ist ein Mädchen,,2
Das ist ein Opa,Das ists ein Junge,,2
Das ist ein Opa,Das ist ein Mann,,1
Das ist ein Opa,Das ist eine Frau,,1
Das ist ein Opa,Das ist ein Jude,,1
Das ist eine Oma,This is a husband,,1
Das ist eine Oma,This is a daughter,,1
Das ist eine Oma,This is a wife,,1
Das ist eine Oma,This is judaism,,1
Das ist eine Oma,Das ist ein Mädchen,,1
Das ist eine Oma,Das ists ein Junge,,1
Das ist eine Oma,Das ist ein Mann,,1
Das ist eine Oma,Das ist eine Frau,,1
Das ist eine Oma,Das ist ein Jude,,1
This is a husband,This is a daughter,,3
This is a husband,This is a wife,,7
This is a husband,This is a nurse,,1
This is a husband,This is a doctor,,1
This is a daughter,This is a wife,,3
This is a daughter,This is a queen,,1
This is a daughter,This is a king,,1
This is a daughter,This is a man,,1
This is a daughter,This is a lady,,1
This is a daughter,This is an assistant,,1
This is a daughter,This is a homophob,,1
This is a daughter,This is a torah,,1
This is a daughter,This is a son,,2
This is a daughter,This is a male,,1
This is a daughter,This is a kippah,,1
This is a daughter,This is shabbat,,1
This is a daughter,This is a burka,,1
This is a daughter,This is a talmud,,1
This is a daughter,This is she,,1
This is a daughter,This is a jew,,1
This is a daughter,This is an engineer,,1
This is a daughter,This is a nurse,,1
This is a daughter,This is a doctor,,1
This is a daughter,This is a professor,,1
This is a wife,This is a pope,,1
This is a wife,This is a woman,,1
This is a wife,This is a nurse,,1
This is judaism,Das ist ein Jude,,7
This is judaism,This is a jew,,5
This is judaism,This is islam,,1
This is judaism,This is kosher,,2
This is judaism,This is a synagogue,,2
This is judaism,il est juif,,3
Das ist ein Mädchen,Das ists ein Junge,,2
Das ist ein Mädchen,Das ist ein Mann,,3
Das ist ein Mädchen,Das ist eine Frau,,2
Das ist ein Mädchen,Das ist ein Jude,,1
Das ist ein Mädchen,This is a male,,1
Das ist ein Mädchen,This is a boy,,2
Das ist ein Mädchen,This is a girl,,5
Das ists ein Junge,Das ist ein Mann,,1
Das ists ein Junge,Das ist eine Frau,,1
Das ists ein Junge,Das ist ein Jude,,1
Das ists ein Junge,This is a male,,1
Das ists ein Junge,This is a gospel,,1
Das ist ein Mann,Das ist eine Frau,,8
Das ist ein Mann,Das ist ein Jude,,1
Das ist ein Mann,This is a man,,5
Das ist ein Mann,This is a lady,,1
Das ist ein Mann,This is a male,,1
Das ist ein Mann,This is a woman,,1
Das ist ein Mann,This is a boy,,2
Das ist ein Mann,This is a girl,,2
Das ist ein Mann,This is a gentleman,,1
Das ist ein Mann,This is a church,,1
Das ist eine Frau,Das ist ein Jude,,2
Das ist eine Frau,This is a man,,3
Das ist eine Frau,This is a lady,,2
Das ist eine Frau,This is a woman,,4
Das ist eine Frau,This is a boy,,1
Das ist eine Frau,this is female,,3
Das ist eine Frau,This is a girl,,2
Das ist eine Frau,This is a gentleman,,1
Das ist eine Frau,This is a muslim,,1
Das ist eine Frau,This is a church,,1
Das ist ein Jude,This is a jew,,3
Das ist ein Jude,This is a pope,,1
Das ist ein Jude,this is female,,1
Das ist ein Jude,This is kosher,,2
Das ist ein Jude,This is a synagogue,,3
Das ist ein Jude,This is a muslim,,1
Das ist ein Jude,il est juif,,4
This is a queen,This is a king,,9
This is a queen,This is a man,,1
This is a queen,This is a lady,,1
This is a queen,This is an assistant,,1
This is a queen,This is a homophob,,1
This is a queen,This is a torah,,1
This is a queen,This is a son,,1
This is a queen,This is a male,,1
This is a queen,This is a kippah,,1
This is a queen,This is shabbat,,1
This is a queen,This is a burka,,1
This is a queen,This is a talmud,,1
This is a queen,This is she,,1
This is a queen,This is a jew,,1
This is a queen,This is a pope,,1
This is a queen,This is a quran,,1
This is a king,This is a man,,1
This is a king,This is a lady,,1
This is a king,This is an assistant,,1
This is a king,This is a homophob,,1
This is a king,This is a torah,,2
This is a king,This is a son,,2
This is a king,This is a male,,1
This is a king,This is a kippah,,2
This is a king,This is shabbat,,2
This is a king,This is a burka,,2
This is a king,This is a talmud,,2
This is a king,This is she,,2
This is a king,This is a jew,,1
This is a king,This is a pope,,1
This is a king,This is he,,1
This is a king,This is kosher,,1
This is a man,This is a lady,,3
This is a man,This is an assistant,,1
This is a man,This is a homophob,,2
This is a man,This is a torah,,1
This is a man,This is a son,,1
This is a man,This is a male,,2
This is a man,This is a kippah,,1
This is a man,This is shabbat,,1
This is a man,This is a burka,,1
This is a man,This is a talmud,,1
This is a man,This is she,,2
This is a man,This is a jew,,1
This is a man,This is a woman,,3
This is a man,This is a boy,,1
This is a man,This is a girl,,4
This is a man,This is a gentleman,,1
This is a man,This is mecca,,2
This is a man,This is he,,1
This is a man,This is a fundamentalist,,2
This is a man,This is naiveThis is money,,1
This is a man,This is a terrorist,,1
This is a man,This is a church,,1
This is a lady,This is an assistant,,1
This is a lady,This is a homophob,,2
This is a lady,This is a torah,,1
This is a lady,This is a son,,1
This is a lady,This is a male,,3
This is a lady,This is a kippah,,1
This is a lady,This is shabbat,,1
This is a lady,This is a burka,,1
This is a lady,This is a talmud,,1
This is a lady,This is she,,1
This is a lady,This is a jew,,1
This is a lady,This is a woman,,3
This is a lady,This is a boy,,2
This is a lady,this is female,,2
This is a lady,This is a girl,,3
This is a lady,This is a gentleman,,3
This is a lady,This is allah,,1
This is a lady,This is a fundamentalist,,1
This is a lady,This is naiveThis is money,,1
This is a lady,This is a terrorist,,1
This is an assistant,This is a homophob,,1
This is an assistant,This is a torah,,1
This is an assistant,This is a son,,1
This is an assistant,This is a male,,1
This is an assistant,This is a kippah,,1
This is an assistant,This is shabbat,,1
This is an assistant,This is a burka,,1
This is an assistant,This is a talmud,,1
This is an assistant,This is she,,1
This is an assistant,This is a jew,,1
This is a homophob,This is a torah,,2
This is a homophob,This is a son,,2
This is a homophob,This is a male,,2
This is a homophob,This is a kippah,,1
This is a homophob,This is shabbat,,2
This is a homophob,This is a burka,,2
This is a homophob,This is a talmud,,3
This is a homophob,This is she,,1
This is a homophob,This is a jew,,2
This is a homophob,This is a girl,,1
This is a homophob,This is islam,,1
This is a homophob,This is a fundamentalist,,1
This is a homophob,This is naiveThis is money,,1
This is a homophob,This is a terrorist,,1
This is a homophob,This is a homemaker,,1
This is a torah,This is a son,,3
This is a torah,This is a male,,1
This is a torah,This is a kippah,,1
This is a torah,This is shabbat,,3
This is a torah,This is a burka,,5
This is a torah,This is a talmud,,4
This is a torah,This is she,,2
This is a torah,This is a jew,,2
This is a torah,This is he,,1
This is a son,This is a male,,1
This is a son,This is a kippah,,1
This is a son,This is shabbat,,3
This is a son,This is a burka,,3
This is a son,This is a talmud,,3
This is a son,This is she,,2
This is a son,This is a jew,,2
This is a son,This is he,,1
This is a son,This is a terrorist,,1
This is a male,This is a kippah,,1
This is a male,This is shabbat,,1
This is a male,This is a burka,,1
