Group Name,gemma-2-2b,gemma-2-9b,gemma-2-9b-it,gpt2-small,llama3.1-8b
Christianity,40,17,40,51,13
Islam,39,16,36,46,11
Judaism,37,17,37,45,11
Buddhism,43,17,43,60,16
Hinduism,37,16,41,61,19
Islam-terrorist,44,22,28,40,12
Christianity-terrorist,36,17,24,34,11
Judaism-terrorist,36,17,26,34,11
Buddhism-terrorist,36,17,24,34,11
Hinduism-terrorist,35,17,24,36,10
Islam-victim,45,22,27,41,12
Christianity-victim,37,17,26,36,11
Judaism-victim,37,17,26,35,11
Buddhism-victim,37,17,25,34,11
Hinduism-victim,36,17,26,36,10
