model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
gemma-2-2b/gemmascope-att-16k,3135,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","first started arguing he put on a glove and placed the homemade knife in his left hand . Defendant denied utilizing any tape or gauze to wrap his hand . When defendant got up to help Sh river , he was attacked by Ricky Gray and Mark Vincent . Gray had a knife in his right hand , and Vincent appeared unarmed . Defendant grabbed Gray ' s right hand ; and defendant , Gray and Vincent fell onto a bed . Defendant described his encounter with Gray and Vincent : ""[ W ] e was kinda rass ling ( sic ), all three of us on the bed , standing up , falling back down , and I was just stabbing ."" After Gray and Vincent"
gemma-2-2b/gemmascope-att-16k,3135,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","you prefer and buy this today . <bos> VIOL ENT / NON - CONS EN SU AL SEX WARNING / DISCLAIMER : It is a story portraying a Conqueror / slave relationship , so it would appear non - cons ens ual at first . As for sexual violence , there are scenes ( In parts 3 and 4 ) which are detailed and graphic , and may not suite some readers . Lord Conqueror of the Realm Written by Warrior Judge Part 1 9 In northern Greece , in the tavern on the border between Philipp i and Macedonia , Noble man Ver osus and Noble man Mart on met with Dom itia , in a room they had"
gemma-2-2b/gemmascope-att-16k,3135,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","Gran ade , Crosby & Blackburn , P . C ., Bay Min ette , for appellee . TH IG PEN , Judge . This is a malicious prosecution case . Jo Ann Hall filed suit against George D . Eub anks in September 1 9 9 1 , charging him with malicious prosecution and seeking $ 1 million in damages . She alleged that the complaint resulted from an arrest warrant which Eub anks had sworn against Hall , charging her with criminal charges , and that she sustained damages , including legal expenses , although the criminal proceedings terminated in her favor . Following a jury trial , the jury returned a verdict favoring Hall in the amount of $ 1"
gemma-2-2b/gemmascope-att-16k,3135,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","In fact , a book called UFO s in the Qur an claims that the U . S . government is being run by aliens or evil spirits . That s Skull & Bones . They tell their members they d always be protected from corruption charges . So a Harvard University professor , just because he goes to Harvard , is told he d always be protected from rape accusations , and no matter what crime he commits , it s going to be ok . But this is not the way God s government works . This is not something Jesus would stand for . Cor rupt people are going to hell , and nothing"
gemma-2-2b/gemmascope-res-65k,7737,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, torah, hanukkah, judaism, kosher, shabbat","worship Yahweh . They re not real Jews . Their real name is Bauer . They re using you . And they re making fool of yourselves by going along with this insane plan . Hurry up and arrest those criminals who have taken leaders hips of your society . This is not a joke . There s enough evidence out there for everybody to know it s true . It s all over there . Anybody who has done any research in the well documented thoroughly proven facts will know that a criminal gang has control of your financial system for the past three hundred years , and they are planning genocide . They must be stop ."
gemma-2-2b/gemmascope-res-65k,7737,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, torah, hanukkah, judaism, kosher, shabbat","] his option [ might have ] be [ en ] fore closed to [ T ineo ], [] any bar [ would have been ] due to the serious nature of his criminal offenses , not to an equal protection denial or to any supposed rigidity or harsh ness in the citizens hip laws . Nguyen , 5 3 3 U . S . at 7 1 . But he is not the T ineo that is our focus here . The result fo stered by the gender classification at issue precluded Felipe T ineo from ever having his child derive citizenship from him . No matter how we attain it , the Constitution guarantees"
gemma-2-2b/gemmascope-res-65k,7737,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, torah, hanukkah, judaism, kosher, shabbat","particularly the steak and Guinness . For a true taste of home , assuming you come from the north of England that is , the chips with curry sauce are a must . Prices are moderate to ... Read our full review of The Magnificent Fish and Chips Bar . Indian The Indian dining experience does not get much more sumptuous ( or over the top ) than at Bombay Palace , set in colonial bungalow on the edge of KL CC . It ' s on the pricey side , especially if you order wine , but the food is reliably good . Stand - out dishes include the butter chicken ( creamy chicken curry ) and the pal ak pane er ."
gemma-2-2b/gemmascope-res-65k,7737,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, torah, hanukkah, judaism, kosher, shabbat","Thompson and his associates is the social significance of crime and the law , and they are thus part of this new drive to investigate the historical interactions of society and culture ( in the anthropological sense of the term ). The keynote essay in these twin volumes is that by Douglas Hay , Property , Authority and the Criminal Law , which forms the introduction to Albion s Fatal Tree . Here he sketches out a new interpretation of the social role of the law in eighteenth - century England . He tries to explain two parado xes . Why was it that although the legislature kept adding from about 5 0 to 2 0 0 to the number"
gemma-2-2b/gemmascope-res-65k,7737,60,"mitzvah, jew, kippah, menorah, rabbi, synagogue, torah, hanukkah, judaism, kosher, shabbat","sentence This is when you are sentenced to a period of imprisonment , but are not actually sent to prison as long you comply with any conditions and do not commit any further offences . Suspended sentences can last up to 2 years . Full time prison This is when you are sent to ga ol . Full time imprisonment can only be imposed if no other alternative is appropriate in the circumstances . Call our experienced criminal lawyers today for a free first appointment where we can discuss your child abuse material case and advise you of the best way forward . <bos> In vitro assessment of antic ry pto spor id ial efficacy and cytotoxicity of adenosine analogues"
gemma-2-2b/gemmascope-res-16k,10121,262,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","This matter is before the Court upon the Motion for Ind ef inite Suspension Pending Appeal filed by the Mississippi Bar . The complaint involves McGuire ' s conviction of the crime of filing a false currency reporting form in violation of 2 6 U . S . C . A . 6 0 5 0 I ( f )( 1 )( B ), 7 2 0 6 ( 1 ). This Court entered its order on December 1 5 , 1 9 9 4 , granting the Bar ' s request for indefinite suspension pending appeal . On January 2 1 , 1 9 9 7 , the Bar provided certification that the Fifth Circuit Court of"
