model,SAE,query,featurenumber
gemma-2-2b,gemmascope-att-16k,This is a baptism,12301
gemma-2-2b,gemmascope-att-16k,This is a baptism,13166
gemma-2-2b,gemmascope-att-16k,This is a baptism,15364
gemma-2-2b,gemmascope-att-16k,This is a baptism,5656
gemma-2-2b,gemmascope-att-16k,This is a baptism,9496
gemma-2-2b,gemmascope-att-16k,This is a baptism,This is a baptism
gemma-2-2b,gemmascope-att-16k,This is a baptism,This is a baptism
gemma-2-2b,gemmascope-att-16k,This is a baptism,12301
gemma-2-2b,gemmascope-att-16k,This is a baptism,13166
gemma-2-2b,gemmascope-att-16k,This is a baptism,15364
gemma-2-2b,gemmascope-att-16k,This is a baptism,5656
gemma-2-2b,gemmascope-att-16k,This is a baptism,9496
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,12301
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,13166
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,15364
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,5496
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,5656
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,9496
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,This is a bar mitzvah
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,This is a bar mitzvah
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,12301
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,13166
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,15364
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,5496
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,5656
gemma-2-2b,gemmascope-att-16k,This is a bar mitzvah,9496
gemma-2-2b,gemmascope-att-16k,This is a bible,12301
gemma-2-2b,gemmascope-att-16k,This is a bible,13166
gemma-2-2b,gemmascope-att-16k,This is a bible,15364
gemma-2-2b,gemmascope-att-16k,This is a bible,5656
gemma-2-2b,gemmascope-att-16k,This is a bible,9496
gemma-2-2b,gemmascope-att-16k,This is a bible,This is a bible
gemma-2-2b,gemmascope-att-16k,This is a bible,This is a bible
gemma-2-2b,gemmascope-att-16k,This is a bible,12301
gemma-2-2b,gemmascope-att-16k,This is a bible,13166
gemma-2-2b,gemmascope-att-16k,This is a bible,15364
gemma-2-2b,gemmascope-att-16k,This is a bible,5656
gemma-2-2b,gemmascope-att-16k,This is a bible,9496
gemma-2-2b,gemmascope-att-16k,This is a bomb,12301
gemma-2-2b,gemmascope-att-16k,This is a bomb,13166
gemma-2-2b,gemmascope-att-16k,This is a bomb,15364
gemma-2-2b,gemmascope-att-16k,This is a bomb,5656
gemma-2-2b,gemmascope-att-16k,This is a bomb,9496
gemma-2-2b,gemmascope-att-16k,This is a bomb,This is a bomb
gemma-2-2b,gemmascope-att-16k,This is a bomb,This is a bomb
gemma-2-2b,gemmascope-att-16k,This is a bomb,12301
gemma-2-2b,gemmascope-att-16k,This is a bomb,13166
gemma-2-2b,gemmascope-att-16k,This is a bomb,15364
gemma-2-2b,gemmascope-att-16k,This is a bomb,5656
gemma-2-2b,gemmascope-att-16k,This is a bomb,9496
gemma-2-2b,gemmascope-att-16k,This is a bombing,12301
gemma-2-2b,gemmascope-att-16k,This is a bombing,13166
gemma-2-2b,gemmascope-att-16k,This is a bombing,15364
gemma-2-2b,gemmascope-att-16k,This is a bombing,5656
gemma-2-2b,gemmascope-att-16k,This is a bombing,9496
gemma-2-2b,gemmascope-att-16k,This is a bombing,This is a bombing
gemma-2-2b,gemmascope-att-16k,This is a bombing,This is a bombing
gemma-2-2b,gemmascope-att-16k,This is a bombing,12301
gemma-2-2b,gemmascope-att-16k,This is a bombing,13166
gemma-2-2b,gemmascope-att-16k,This is a bombing,15364
gemma-2-2b,gemmascope-att-16k,This is a bombing,5656
gemma-2-2b,gemmascope-att-16k,This is a bombing,9496
gemma-2-2b,gemmascope-att-16k,This is a buddhist,12301
gemma-2-2b,gemmascope-att-16k,This is a buddhist,13166
gemma-2-2b,gemmascope-att-16k,This is a buddhist,15364
gemma-2-2b,gemmascope-att-16k,This is a buddhist,5656
gemma-2-2b,gemmascope-att-16k,This is a buddhist,9496
gemma-2-2b,gemmascope-att-16k,This is a buddhist,This is a buddhist
gemma-2-2b,gemmascope-att-16k,This is a buddhist,This is a buddhist
gemma-2-2b,gemmascope-att-16k,This is a buddhist,12301
gemma-2-2b,gemmascope-att-16k,This is a buddhist,13166
gemma-2-2b,gemmascope-att-16k,This is a buddhist,15364
gemma-2-2b,gemmascope-att-16k,This is a buddhist,5656
gemma-2-2b,gemmascope-att-16k,This is a buddhist,9496
gemma-2-2b,gemmascope-att-16k,This is a burka,12301
gemma-2-2b,gemmascope-att-16k,This is a burka,13166
gemma-2-2b,gemmascope-att-16k,This is a burka,15364
gemma-2-2b,gemmascope-att-16k,This is a burka,5656
gemma-2-2b,gemmascope-att-16k,This is a burka,9496
gemma-2-2b,gemmascope-att-16k,This is a burka,This is a burka
gemma-2-2b,gemmascope-att-16k,This is a burka,This is a burka
gemma-2-2b,gemmascope-att-16k,This is a burka,12301
gemma-2-2b,gemmascope-att-16k,This is a burka,13166
gemma-2-2b,gemmascope-att-16k,This is a burka,15364
gemma-2-2b,gemmascope-att-16k,This is a burka,5656
gemma-2-2b,gemmascope-att-16k,This is a burka,9496
gemma-2-2b,gemmascope-att-16k,This is a casualty,12301
gemma-2-2b,gemmascope-att-16k,This is a casualty,13166
gemma-2-2b,gemmascope-att-16k,This is a casualty,15364
gemma-2-2b,gemmascope-att-16k,This is a casualty,5656
gemma-2-2b,gemmascope-att-16k,This is a casualty,9496
gemma-2-2b,gemmascope-att-16k,This is a casualty,This is a casualty
gemma-2-2b,gemmascope-att-16k,This is a casualty,This is a casualty
gemma-2-2b,gemmascope-att-16k,This is a casualty,12301
gemma-2-2b,gemmascope-att-16k,This is a casualty,13166
gemma-2-2b,gemmascope-att-16k,This is a casualty,15364
gemma-2-2b,gemmascope-att-16k,This is a casualty,5656
gemma-2-2b,gemmascope-att-16k,This is a casualty,9496
gemma-2-2b,gemmascope-att-16k,This is a christian,12301
gemma-2-2b,gemmascope-att-16k,This is a christian,13166
gemma-2-2b,gemmascope-att-16k,This is a christian,15364
gemma-2-2b,gemmascope-att-16k,This is a christian,5656
gemma-2-2b,gemmascope-att-16k,This is a christian,9496
gemma-2-2b,gemmascope-att-16k,This is a christian,This is a christian
gemma-2-2b,gemmascope-att-16k,This is a christian,This is a christian
gemma-2-2b,gemmascope-att-16k,This is a christian,12301
gemma-2-2b,gemmascope-att-16k,This is a christian,13166
gemma-2-2b,gemmascope-att-16k,This is a christian,15364
gemma-2-2b,gemmascope-att-16k,This is a christian,5656
gemma-2-2b,gemmascope-att-16k,This is a christian,9496
gemma-2-2b,gemmascope-att-16k,This is a church,12301
gemma-2-2b,gemmascope-att-16k,This is a church,13166
gemma-2-2b,gemmascope-att-16k,This is a church,15364
gemma-2-2b,gemmascope-att-16k,This is a church,5656
gemma-2-2b,gemmascope-att-16k,This is a church,9496
gemma-2-2b,gemmascope-att-16k,This is a church,This is a church
gemma-2-2b,gemmascope-att-16k,This is a church,This is a church
gemma-2-2b,gemmascope-att-16k,This is a church,12301
gemma-2-2b,gemmascope-att-16k,This is a church,13166
gemma-2-2b,gemmascope-att-16k,This is a church,15364
gemma-2-2b,gemmascope-att-16k,This is a church,5656
gemma-2-2b,gemmascope-att-16k,This is a church,9496
gemma-2-2b,gemmascope-att-16k,This is a crucifix,12301
gemma-2-2b,gemmascope-att-16k,This is a crucifix,13166
gemma-2-2b,gemmascope-att-16k,This is a crucifix,15364
gemma-2-2b,gemmascope-att-16k,This is a crucifix,5656
gemma-2-2b,gemmascope-att-16k,This is a crucifix,9496
gemma-2-2b,gemmascope-att-16k,This is a crucifix,This is a crucifix
gemma-2-2b,gemmascope-att-16k,This is a crucifix,This is a crucifix
gemma-2-2b,gemmascope-att-16k,This is a crucifix,12301
gemma-2-2b,gemmascope-att-16k,This is a crucifix,13166
gemma-2-2b,gemmascope-att-16k,This is a crucifix,15364
gemma-2-2b,gemmascope-att-16k,This is a crucifix,5656
gemma-2-2b,gemmascope-att-16k,This is a crucifix,9496
gemma-2-2b,gemmascope-att-16k,This is a dharma,12301
gemma-2-2b,gemmascope-att-16k,This is a dharma,13166
gemma-2-2b,gemmascope-att-16k,This is a dharma,15364
gemma-2-2b,gemmascope-att-16k,This is a dharma,5656
gemma-2-2b,gemmascope-att-16k,This is a dharma,9496
gemma-2-2b,gemmascope-att-16k,This is a dharma,This is a dharma
gemma-2-2b,gemmascope-att-16k,This is a dharma,This is a dharma
gemma-2-2b,gemmascope-att-16k,This is a dharma,12301
gemma-2-2b,gemmascope-att-16k,This is a dharma,13166
gemma-2-2b,gemmascope-att-16k,This is a dharma,15364
gemma-2-2b,gemmascope-att-16k,This is a dharma,5656
gemma-2-2b,gemmascope-att-16k,This is a dharma,9496
gemma-2-2b,gemmascope-att-16k,This is a gospel,12301
gemma-2-2b,gemmascope-att-16k,This is a gospel,13166
gemma-2-2b,gemmascope-att-16k,This is a gospel,15364
gemma-2-2b,gemmascope-att-16k,This is a gospel,5656
gemma-2-2b,gemmascope-att-16k,This is a gospel,9496
gemma-2-2b,gemmascope-att-16k,This is a gospel,This is a gospel
gemma-2-2b,gemmascope-att-16k,This is a gospel,This is a gospel
gemma-2-2b,gemmascope-att-16k,This is a gospel,12301
gemma-2-2b,gemmascope-att-16k,This is a gospel,13166
gemma-2-2b,gemmascope-att-16k,This is a gospel,15364
gemma-2-2b,gemmascope-att-16k,This is a gospel,5656
gemma-2-2b,gemmascope-att-16k,This is a gospel,9496
gemma-2-2b,gemmascope-att-16k,This is a gun,12301
gemma-2-2b,gemmascope-att-16k,This is a gun,13166
gemma-2-2b,gemmascope-att-16k,This is a gun,15364
gemma-2-2b,gemmascope-att-16k,This is a gun,5656
gemma-2-2b,gemmascope-att-16k,This is a gun,9496
gemma-2-2b,gemmascope-att-16k,This is a gun,This is a gun
gemma-2-2b,gemmascope-att-16k,This is a gun,This is a gun
gemma-2-2b,gemmascope-att-16k,This is a gun,12301
gemma-2-2b,gemmascope-att-16k,This is a gun,13166
gemma-2-2b,gemmascope-att-16k,This is a gun,15364
gemma-2-2b,gemmascope-att-16k,This is a gun,5656
gemma-2-2b,gemmascope-att-16k,This is a gun,9496
gemma-2-2b,gemmascope-att-16k,This is a hijab,12301
gemma-2-2b,gemmascope-att-16k,This is a hijab,13166
gemma-2-2b,gemmascope-att-16k,This is a hijab,15364
gemma-2-2b,gemmascope-att-16k,This is a hijab,5656
gemma-2-2b,gemmascope-att-16k,This is a hijab,9496
gemma-2-2b,gemmascope-att-16k,This is a hijab,This is a hijab
gemma-2-2b,gemmascope-att-16k,This is a hijab,This is a hijab
gemma-2-2b,gemmascope-att-16k,This is a hijab,12301
gemma-2-2b,gemmascope-att-16k,This is a hijab,13166
gemma-2-2b,gemmascope-att-16k,This is a hijab,15364
gemma-2-2b,gemmascope-att-16k,This is a hijab,5656
gemma-2-2b,gemmascope-att-16k,This is a hijab,9496
gemma-2-2b,gemmascope-att-16k,This is a hindu,12301
gemma-2-2b,gemmascope-att-16k,This is a hindu,13166
gemma-2-2b,gemmascope-att-16k,This is a hindu,15364
gemma-2-2b,gemmascope-att-16k,This is a hindu,5656
gemma-2-2b,gemmascope-att-16k,This is a hindu,9496
gemma-2-2b,gemmascope-att-16k,This is a hindu,This is a hindu
gemma-2-2b,gemmascope-att-16k,This is a hindu,This is a hindu
gemma-2-2b,gemmascope-att-16k,This is a hindu,12301
gemma-2-2b,gemmascope-att-16k,This is a hindu,13166
gemma-2-2b,gemmascope-att-16k,This is a hindu,15364
gemma-2-2b,gemmascope-att-16k,This is a hindu,5656
gemma-2-2b,gemmascope-att-16k,This is a hindu,9496
gemma-2-2b,gemmascope-att-16k,This is a hostage,12301
gemma-2-2b,gemmascope-att-16k,This is a hostage,13166
gemma-2-2b,gemmascope-att-16k,This is a hostage,15364
gemma-2-2b,gemmascope-att-16k,This is a hostage,5656
gemma-2-2b,gemmascope-att-16k,This is a hostage,9496
gemma-2-2b,gemmascope-att-16k,This is a hostage,This is a hostage
gemma-2-2b,gemmascope-att-16k,This is a hostage,This is a hostage
gemma-2-2b,gemmascope-att-16k,This is a hostage,12301
gemma-2-2b,gemmascope-att-16k,This is a hostage,13166
gemma-2-2b,gemmascope-att-16k,This is a hostage,15364
gemma-2-2b,gemmascope-att-16k,This is a hostage,5656
gemma-2-2b,gemmascope-att-16k,This is a hostage,9496
gemma-2-2b,gemmascope-att-16k,This is a jew,12301
gemma-2-2b,gemmascope-att-16k,This is a jew,13166
gemma-2-2b,gemmascope-att-16k,This is a jew,15364
gemma-2-2b,gemmascope-att-16k,This is a jew,5656
gemma-2-2b,gemmascope-att-16k,This is a jew,9496
gemma-2-2b,gemmascope-att-16k,This is a jew,This is a jew
gemma-2-2b,gemmascope-att-16k,This is a jew,This is a jew
gemma-2-2b,gemmascope-att-16k,This is a jew,12301
gemma-2-2b,gemmascope-att-16k,This is a jew,13166
gemma-2-2b,gemmascope-att-16k,This is a jew,15364
gemma-2-2b,gemmascope-att-16k,This is a jew,5656
gemma-2-2b,gemmascope-att-16k,This is a jew,9496
gemma-2-2b,gemmascope-att-16k,This is a kippah,12301
gemma-2-2b,gemmascope-att-16k,This is a kippah,13166
gemma-2-2b,gemmascope-att-16k,This is a kippah,15364
gemma-2-2b,gemmascope-att-16k,This is a kippah,5656
gemma-2-2b,gemmascope-att-16k,This is a kippah,9496
gemma-2-2b,gemmascope-att-16k,This is a kippah,This is a kippah
gemma-2-2b,gemmascope-att-16k,This is a kippah,This is a kippah
gemma-2-2b,gemmascope-att-16k,This is a kippah,12301
gemma-2-2b,gemmascope-att-16k,This is a kippah,13166
gemma-2-2b,gemmascope-att-16k,This is a kippah,15364
