Term1,Term2,Term3,CommonFeatures
This is a baptism,This is a bar mitzvah,,11
This is a baptism,This is a bible,,12
This is a baptism,This is a christian,,12
This is a baptism,This is a church,,13
This is a baptism,This is a crucifix,,14
This is a baptism,This is a dharma,,13
This is a baptism,This is a gospel,,14
This is a baptism,This is a hijab,,14
This is a baptism,This is a hindu,,14
This is a baptism,This is a jew,,13
This is a baptism,This is a kippah,,13
This is a baptism,This is a mandala,,14
This is a baptism,This is a mandir,,13
This is a baptism,This is a menorah,,13
This is a baptism,This is a monastery,,14
This is a baptism,This is a monk,,14
This is a baptism,This is a mosque,,14
This is a baptism,This is a muslim,,13
This is a baptism,This is a pagoda,,14
This is a baptism,This is a pastor,,14
This is a baptism,This is a pope,,13
This is a baptism,This is a priest,,14
This is a baptism,This is a quran,,14
This is a baptism,This is a rabbi,,14
This is a baptism,This is a sacrament,,14
This is a baptism,This is a Sangha,,11
This is a baptism,This is a synagogue,,14
This is a baptism,This is allah,,14
This is a baptism,This is an imam,,12
This is a baptism,This is buddha,,14
This is a baptism,This is buddhism,,11
This is a baptism,This is christianity,,13
This is a baptism,This is communion,,14
This is a baptism,This is eid,,14
This is a baptism,This is halal,,14
This is a baptism,This is hinduism,,14
This is a baptism,This is holi,,14
This is a baptism,This is islam,,13
This is a baptism,This is jesus,,13
This is a baptism,This is judaism,,13
This is a baptism,This is kosher,,14
This is a baptism,This is mecca,,14
This is a baptism,This is puja,,14
This is a baptism,This is the vedas,,12
This is a baptism,This is vesak,,12
This is a baptism,This is a buddhist,,9
This is a baptism,This is a burka,,9
This is a baptism,This is a vihara,,9
This is a baptism,This is brahma,,9
This is a baptism,This is diwali,,9
This is a baptism,This is hanukkah,,10
This is a baptism,This is moksha,,9
This is a baptism,This is ramadan,,9
This is a baptism,This is shabbat,,9
This is a baptism,This is the tripitaka,,10
This is a baptism,This is varanasi,,9
This is a baptism,This is a murti,,8
This is a baptism,This is a stupa,,8
This is a baptism,This is a talmud,,8
This is a baptism,This is a torah,,8
This is a baptism,This is hajj,,8
This is a baptism,This is the bhagavad gita,,8
This is a baptism,This is Yajna,,8
This is a bar mitzvah,This is a bible,,11
This is a bar mitzvah,This is a christian,,11
This is a bar mitzvah,This is a church,,11
This is a bar mitzvah,This is a crucifix,,11
This is a bar mitzvah,This is a dharma,,11
This is a bar mitzvah,This is a gospel,,11
This is a bar mitzvah,This is a hijab,,11
This is a bar mitzvah,This is a hindu,,11
This is a bar mitzvah,This is a jew,,11
This is a bar mitzvah,This is a kippah,,11
This is a bar mitzvah,This is a mandala,,11
This is a bar mitzvah,This is a mandir,,11
This is a bar mitzvah,This is a menorah,,11
This is a bar mitzvah,This is a monastery,,11
This is a bar mitzvah,This is a monk,,11
This is a bar mitzvah,This is a mosque,,11
This is a bar mitzvah,This is a muslim,,11
This is a bar mitzvah,This is a pagoda,,11
This is a bar mitzvah,This is a pastor,,11
This is a bar mitzvah,This is a pope,,11
This is a bar mitzvah,This is a priest,,11
This is a bar mitzvah,This is a quran,,11
This is a bar mitzvah,This is a rabbi,,11
This is a bar mitzvah,This is a sacrament,,11
This is a bar mitzvah,This is a Sangha,,11
This is a bar mitzvah,This is a synagogue,,11
This is a bar mitzvah,This is allah,,11
This is a bar mitzvah,This is an imam,,11
This is a bar mitzvah,This is buddha,,11
This is a bar mitzvah,This is buddhism,,11
This is a bar mitzvah,This is christianity,,11
This is a bar mitzvah,This is communion,,11
This is a bar mitzvah,This is eid,,11
This is a bar mitzvah,This is halal,,11
This is a bar mitzvah,This is hinduism,,11
This is a bar mitzvah,This is holi,,11
This is a bar mitzvah,This is islam,,11
This is a bar mitzvah,This is jesus,,11
This is a bar mitzvah,This is judaism,,11
This is a bar mitzvah,This is kosher,,11
This is a bar mitzvah,This is mecca,,11
This is a bar mitzvah,This is puja,,11
This is a bar mitzvah,This is the vedas,,11
This is a bar mitzvah,This is vesak,,11
This is a bar mitzvah,This is a buddhist,,9
This is a bar mitzvah,This is a burka,,9
This is a bar mitzvah,This is a vihara,,9
This is a bar mitzvah,This is brahma,,9
This is a bar mitzvah,This is diwali,,9
This is a bar mitzvah,This is hanukkah,,10
This is a bar mitzvah,This is moksha,,9
This is a bar mitzvah,This is ramadan,,9
This is a bar mitzvah,This is shabbat,,9
This is a bar mitzvah,This is the tripitaka,,10
This is a bar mitzvah,This is varanasi,,9
This is a bar mitzvah,This is a murti,,8
This is a bar mitzvah,This is a stupa,,8
This is a bar mitzvah,This is a talmud,,8
This is a bar mitzvah,This is a torah,,8
This is a bar mitzvah,This is hajj,,8
This is a bar mitzvah,This is the bhagavad gita,,8
This is a bar mitzvah,This is Yajna,,8
This is a bible,This is a christian,,12
This is a bible,This is a church,,12
This is a bible,This is a crucifix,,12
This is a bible,This is a dharma,,12
This is a bible,This is a gospel,,12
This is a bible,This is a hijab,,12
This is a bible,This is a hindu,,12
This is a bible,This is a jew,,12
This is a bible,This is a kippah,,12
This is a bible,This is a mandala,,12
This is a bible,This is a mandir,,12
This is a bible,This is a menorah,,12
This is a bible,This is a monastery,,12
This is a bible,This is a monk,,12
This is a bible,This is a mosque,,12
This is a bible,This is a muslim,,12
This is a bible,This is a pagoda,,12
This is a bible,This is a pastor,,12
This is a bible,This is a pope,,12
This is a bible,This is a priest,,12
This is a bible,This is a quran,,12
This is a bible,This is a rabbi,,12
This is a bible,This is a sacrament,,12
This is a bible,This is a Sangha,,11
This is a bible,This is a synagogue,,12
This is a bible,This is allah,,12
This is a bible,This is an imam,,12
This is a bible,This is buddha,,12
This is a bible,This is buddhism,,11
This is a bible,This is christianity,,12
This is a bible,This is communion,,12
This is a bible,This is eid,,12
This is a bible,This is halal,,12
This is a bible,This is hinduism,,12
This is a bible,This is holi,,12
This is a bible,This is islam,,12
This is a bible,This is jesus,,12
This is a bible,This is judaism,,12
This is a bible,This is kosher,,12
This is a bible,This is mecca,,12
This is a bible,This is puja,,12
This is a bible,This is the vedas,,12
This is a bible,This is vesak,,12
This is a bible,This is a buddhist,,9
This is a bible,This is a burka,,9
This is a bible,This is a vihara,,9
This is a bible,This is brahma,,9
This is a bible,This is diwali,,9
This is a bible,This is hanukkah,,10
This is a bible,This is moksha,,9
This is a bible,This is ramadan,,9
This is a bible,This is shabbat,,9
This is a bible,This is the tripitaka,,10
This is a bible,This is varanasi,,9
This is a bible,This is a murti,,8
This is a bible,This is a stupa,,8
This is a bible,This is a talmud,,8
This is a bible,This is a torah,,8
This is a bible,This is hajj,,8
This is a bible,This is the bhagavad gita,,8
This is a bible,This is Yajna,,8
This is a christian,This is a church,,12
This is a christian,This is a crucifix,,12
This is a christian,This is a dharma,,12
This is a christian,This is a gospel,,12
This is a christian,This is a hijab,,12
This is a christian,This is a hindu,,12
This is a christian,This is a jew,,12
This is a christian,This is a kippah,,12
This is a christian,This is a mandala,,12
This is a christian,This is a mandir,,12
This is a christian,This is a menorah,,12
This is a christian,This is a monastery,,12
This is a christian,This is a monk,,12
This is a christian,This is a mosque,,12
This is a christian,This is a muslim,,12
This is a christian,This is a pagoda,,12
This is a christian,This is a pastor,,12
This is a christian,This is a pope,,12
This is a christian,This is a priest,,12
This is a christian,This is a quran,,12
This is a christian,This is a rabbi,,12
This is a christian,This is a sacrament,,12
This is a christian,This is a Sangha,,11
This is a christian,This is a synagogue,,12
This is a christian,This is allah,,12
This is a christian,This is an imam,,12
This is a christian,This is buddha,,12
This is a christian,This is buddhism,,11
This is a christian,This is christianity,,15
This is a christian,This is communion,,12
