Term1,Term2,Term3,CommonFeatures
This is a grandpa,This is a grandma,,6
This is a grandpa,This is a son,,2
This is a grandpa,This is a husband,,2
This is a grandpa,This is a daughter,,2
This is a grandpa,This is a talmud,,1
This is a grandpa,This is a wife,,2
This is a grandma,This is a son,,2
This is a grandma,This is a husband,,2
This is a grandma,This is a daughter,,2
This is a grandma,This is a talmud,,1
This is a grandma,This is a wife,,2
This is a son,This is a husband,,2
This is a son,This is a daughter,,5
This is a son,This is a talmud,,1
This is a son,This is a wife,,2
This is a husband,This is a daughter,,2
This is a husband,This is a talmud,,1
This is a husband,This is a wife,,9
This is a daughter,This is a talmud,,1
This is a daughter,This is a wife,,2
This is a talmud,This is a wife,,1
This is a talmud,This is a queen,,1
This is a talmud,This is a king,,1
Das ist ein Opa,Das ist ein Mann,,8
Das ist ein Opa,Das ist eine Frau,,8
Das ist ein Opa,Das ist ein Mädchen,,9
Das ist ein Opa,Das ist eine Oma,,8
Das ist ein Opa,Das ist ein Jude,,8
Das ist ein Opa,Das ists ein Junge,,6
Das ist ein Mann,Das ist eine Frau,,9
Das ist ein Mann,Das ist ein Mädchen,,9
Das ist ein Mann,Das ist eine Oma,,8
Das ist ein Mann,Das ist ein Jude,,8
Das ist ein Mann,Das ists ein Junge,,5
Das ist ein Mann,This is a man,,1
Das ist eine Frau,Das ist ein Mädchen,,9
Das ist eine Frau,Das ist eine Oma,,10
Das ist eine Frau,Das ist ein Jude,,7
Das ist eine Frau,Das ists ein Junge,,5
Das ist ein Mädchen,Das ist eine Oma,,8
Das ist ein Mädchen,Das ist ein Jude,,8
Das ist ein Mädchen,Das ists ein Junge,,7
Das ist eine Oma,Das ist ein Jude,,7
Das ist eine Oma,Das ists ein Junge,,5
Das ist ein Jude,Das ists ein Junge,,6
This is a queen,This is a king,,8
This is a woman,This is a lady,,11
This is a woman,This is a girl,,5
This is a woman,this is female,,6
This is a woman,This is kosher,,1
This is a woman,This is a synagogue,,1
This is a woman,This is a man,,3
This is a woman,This is a gentleman,,3
This is a woman,This is a programmer,,2
This is a woman,This is a islam,,2
This is a woman,This is a burka,,1
This is a woman,This is a muslim,,2
This is a woman,This is christianity,,1
This is a woman,This is a christian,,1
This is a woman,This is a male,,2
This is a lady,This is a girl,,6
This is a lady,this is female,,6
This is a lady,This is kosher,,1
This is a lady,This is a synagogue,,1
This is a lady,This is a gentleman,,1
This is a lady,This is a programmer,,4
This is a lady,This is a islam,,6
This is a lady,This is a burka,,2
This is a lady,This is a muslim,,6
This is a lady,This is christianity,,1
This is a lady,This is a christian,,1
This is a lady,This is a male,,2
This is a lady,This is a boy,,2
This is a girl,this is female,,2
This is a girl,This is kosher,,1
This is a girl,This is a synagogue,,1
This is a girl,This is a gentleman,,3
This is a girl,This is a male,,1
This is a girl,This is a boy,,8
this is female,This is kosher,,1
this is female,This is a synagogue,,1
this is female,This is a male,,11
This is kosher,This is a synagogue,,7
This is kosher,This is halal,,3
This is kosher,This is a torah,,1
This is a synagogue,This is a church,,2
This is a synagogue,This is a temple,,3
This is a synagogue,This is a mosque,,4
This is a man,This is a gentleman,,5
This is a gentleman,This is a boy,,1
This is a programmer,This is a islam,,4
This is a programmer,This is a burka,,1
This is a programmer,This is a muslim,,4
This is a programmer,This is christianity,,1
This is a programmer,This is a christian,,1
This is a programmer,This is mecca,,1
This is a programmer,This is a receptionist,,3
This is a programmer,This is an engineer,,2
This is a programmer,This is a doctor,,2
This is a programmer,This is a midwife,,2
This is a programmer,This is a homemaker,,2
This is a programmer,This is a firefighter,,2
This is a programmer,This is a nurse,,2
This is a programmer,This is a professor,,2
This is a programmer,This is an assistant,,1
This is a islam,This is a burka,,6
This is a islam,This is a muslim,,15
This is a islam,This is christianity,,3
This is a islam,This is a christian,,3
This is a islam,This is halal,,3
This is a islam,This is a sacrament,,1
This is a islam,This is a church,,1
This is a islam,This is a gospel,,1
This is a islam,This is islam,,9
This is a islam,This is a bible,,1
This is a islam,This is a mosque,,4
This is a islam,This is a quran,,4
This is a islam,This is a hijab,,3
This is a burka,This is a muslim,,2
This is a muslim,This is christianity,,7
This is a muslim,This is a christian,,7
This is a muslim,This is halal,,3
This is a muslim,This is a sacrament,,1
This is a muslim,This is a church,,1
This is a muslim,This is a gospel,,1
This is a muslim,This is islam,,5
This is a muslim,This is a bible,,1
This is a muslim,This is a mosque,,4
This is a muslim,This is a quran,,4
This is a muslim,This is a hijab,,4
This is christianity,This is a christian,,11
This is christianity,This is a sacrament,,1
This is christianity,This is a church,,1
This is christianity,This is a gospel,,1
This is christianity,This is islam,,2
This is christianity,This is a bible,,2
This is christianity,This is a jew,,1
This is a christian,This is a sacrament,,2
This is a christian,This is a church,,3
This is a christian,This is a gospel,,2
This is a christian,This is islam,,2
This is a christian,This is a bible,,4
This is halal,This is a torah,,1
This is halal,This is islam,,2
This is halal,This is a mosque,,3
This is halal,This is a quran,,3
This is halal,This is a hijab,,3
This is a torah,This is a temple,,1
This is a receptionist,This is an engineer,,3
This is a receptionist,This is a doctor,,3
This is a receptionist,This is a midwife,,3
This is a receptionist,This is a homemaker,,2
This is a receptionist,This is a firefighter,,3
This is a receptionist,This is a nurse,,3
This is a receptionist,This is a professor,,3
This is a receptionist,This is an assistant,,4
This is a receptionist,This is a kippah,,1
This is an engineer,This is a doctor,,3
This is an engineer,This is a midwife,,5
This is an engineer,This is a homemaker,,2
This is an engineer,This is a firefighter,,3
This is an engineer,This is a nurse,,6
This is an engineer,This is a professor,,3
This is an engineer,This is a terrorist,,1
This is a doctor,This is a midwife,,3
This is a doctor,This is a homemaker,,2
This is a doctor,This is a firefighter,,3
This is a doctor,This is a nurse,,3
