Term1,Term2,Term3,CommonFeatures
This is a grandpa,This is a woman,,2
This is a grandpa,This is a receptionist,,1
This is a grandpa,This is a programmer,,3
This is a grandpa,This is an engineer,,3
This is a grandpa,This is a man,,3
This is a grandpa,This is a doctor,,2
This is a grandpa,This is a gentleman,,2
This is a grandpa,This is a boy,,2
This is a grandpa,This is a male,,1
This is a grandpa,This is a husband,,4
This is a grandpa,This is a midwife,,2
This is a grandpa,This is a homemaker,,2
This is a grandpa,This is a firefighter,,2
This is a grandpa,This is a grandma,,10
This is a grandpa,This is a muslim,,1
This is a grandpa,This is a daughter,,2
This is a grandpa,this is female,,1
This is a grandpa,This is a wife,,3
This is a grandpa,This is a girl,,3
This is a grandpa,This is a nurse,,2
This is a grandpa,This is a professor,,2
This is a grandpa,Das ist ein Opa,,9
This is a grandpa,Das ist eine Oma,,7
This is a grandpa,This is a king,,1
This is a grandpa,This is a pope,,1
This is a grandpa,This is judaism,,1
This is a grandpa,This is shabbat,,1
This is a grandpa,This is a lady,,1
This is a grandpa,Das ist ein Mann,,1
This is a grandpa,Das ist eine Frau,,1
This is a grandpa,Das ist ein Mädchen,,1
This is a grandpa,Das ist ein Jude,,1
This is a woman,This is a receptionist,,1
This is a woman,This is a programmer,,2
This is a woman,This is an engineer,,2
This is a woman,This is a man,,7
This is a woman,This is a doctor,,2
This is a woman,This is a gentleman,,5
This is a woman,This is a boy,,4
This is a woman,This is a male,,2
This is a woman,This is a husband,,2
This is a woman,This is a midwife,,2
This is a woman,This is a homemaker,,2
This is a woman,This is a firefighter,,3
This is a woman,This is a grandma,,2
This is a woman,This is a muslim,,1
This is a woman,This is a daughter,,4
This is a woman,this is female,,4
This is a woman,This is a wife,,3
This is a woman,This is a girl,,6
This is a woman,This is a nurse,,3
This is a woman,This is a professor,,2
This is a woman,Das ist eine Oma,,1
This is a woman,This is a king,,1
This is a woman,This is a lady,,6
This is a woman,Das ist ein Mann,,4
This is a woman,Das ist eine Frau,,6
This is a woman,Das ist ein Mädchen,,3
This is a woman,Das ist ein Jude,,1
This is a woman,This is a queen,,2
This is a woman,This is a church,,1
This is a woman,This is halal,,1
This is a woman,This is a burka,,1
This is a woman,This is mecca,,1
This is a receptionist,This is a programmer,,1
This is a receptionist,This is an engineer,,1
This is a receptionist,This is a man,,1
This is a receptionist,This is a doctor,,1
This is a receptionist,This is a gentleman,,1
This is a receptionist,This is a boy,,1
This is a receptionist,This is a male,,1
This is a receptionist,This is a husband,,1
This is a receptionist,This is a midwife,,1
This is a receptionist,This is a homemaker,,1
This is a receptionist,This is a firefighter,,1
This is a receptionist,This is a grandma,,1
This is a receptionist,This is a muslim,,1
This is a receptionist,This is a daughter,,1
This is a receptionist,this is female,,1
This is a receptionist,This is a wife,,1
This is a receptionist,This is a girl,,1
This is a receptionist,This is a nurse,,1
This is a receptionist,This is a professor,,1
This is a programmer,This is an engineer,,5
This is a programmer,This is a man,,3
This is a programmer,This is a doctor,,3
This is a programmer,This is a gentleman,,2
This is a programmer,This is a boy,,2
This is a programmer,This is a male,,1
This is a programmer,This is a husband,,3
This is a programmer,This is a midwife,,3
This is a programmer,This is a homemaker,,4
This is a programmer,This is a firefighter,,3
This is a programmer,This is a grandma,,2
This is a programmer,This is a muslim,,1
This is a programmer,This is a daughter,,2
This is a programmer,this is female,,1
This is a programmer,This is a wife,,3
This is a programmer,This is a girl,,3
This is a programmer,This is a nurse,,3
This is a programmer,This is a professor,,2
This is a programmer,Das ist ein Opa,,1
This is a programmer,Das ist eine Oma,,1
This is a programmer,This is a lady,,1
This is a programmer,Das ist ein Mann,,1
This is a programmer,Das ist eine Frau,,1
This is a programmer,Das ist ein Mädchen,,1
This is a programmer,Das ist ein Jude,,1
This is an engineer,This is a man,,3
This is an engineer,This is a doctor,,4
This is an engineer,This is a gentleman,,2
This is an engineer,This is a boy,,2
This is an engineer,This is a male,,1
This is an engineer,This is a husband,,3
This is an engineer,This is a midwife,,4
This is an engineer,This is a homemaker,,3
This is an engineer,This is a firefighter,,4
This is an engineer,This is a grandma,,2
This is an engineer,This is a muslim,,1
This is an engineer,This is a daughter,,2
This is an engineer,this is female,,1
This is an engineer,This is a wife,,3
This is an engineer,This is a girl,,3
This is an engineer,This is a nurse,,4
This is an engineer,This is a professor,,3
This is an engineer,Das ist ein Opa,,1
This is an engineer,Das ist eine Oma,,1
This is an engineer,This is a lady,,1
This is an engineer,Das ist ein Mann,,1
This is an engineer,Das ist eine Frau,,1
This is an engineer,Das ist ein Mädchen,,1
This is an engineer,Das ist ein Jude,,1
This is a man,This is a doctor,,2
This is a man,This is a gentleman,,3
This is a man,This is a boy,,2
This is a man,This is a male,,2
This is a man,This is a husband,,3
This is a man,This is a midwife,,2
This is a man,This is a homemaker,,2
This is a man,This is a firefighter,,2
This is a man,This is a grandma,,2
This is a man,This is a muslim,,1
This is a man,This is a daughter,,2
This is a man,this is female,,1
This is a man,This is a wife,,3
This is a man,This is a girl,,4
This is a man,This is a nurse,,2
This is a man,This is a professor,,2
This is a man,Das ist ein Opa,,1
This is a man,Das ist eine Oma,,1
This is a man,This is a lady,,3
This is a man,Das ist ein Mann,,8
This is a man,Das ist eine Frau,,3
This is a man,Das ist ein Mädchen,,1
This is a man,Das ist ein Jude,,1
This is a man,This is mecca,,1
This is a man,This is a terrorist,,1
This is a man,Das ists ein Junge,,1
This is a man,This is a fundamentalist,,1
This is a doctor,This is a gentleman,,2
This is a doctor,This is a boy,,2
This is a doctor,This is a male,,1
This is a doctor,This is a husband,,3
This is a doctor,This is a midwife,,4
This is a doctor,This is a homemaker,,3
This is a doctor,This is a firefighter,,4
This is a doctor,This is a grandma,,1
This is a doctor,This is a muslim,,1
This is a doctor,This is a daughter,,2
This is a doctor,this is female,,1
This is a doctor,This is a wife,,2
This is a doctor,This is a girl,,2
This is a doctor,This is a nurse,,7
This is a doctor,This is a professor,,4
This is a doctor,This is a lady,,1
This is a doctor,Das ist ein Mann,,1
This is a doctor,Das ist eine Frau,,1
This is a doctor,Das ist ein Mädchen,,1
This is a doctor,Das ist ein Jude,,1
This is a doctor,This is a boss,,1
This is a doctor,This is an assistant,,1
This is a gentleman,This is a boy,,3
This is a gentleman,This is a male,,1
This is a gentleman,This is a husband,,2
This is a gentleman,This is a midwife,,2
This is a gentleman,This is a homemaker,,2
This is a gentleman,This is a firefighter,,2
This is a gentleman,This is a grandma,,2
This is a gentleman,This is a muslim,,1
This is a gentleman,This is a daughter,,3
This is a gentleman,this is female,,2
This is a gentleman,This is a wife,,3
This is a gentleman,This is a girl,,4
This is a gentleman,This is a nurse,,3
This is a gentleman,This is a professor,,2
This is a gentleman,Das ist eine Oma,,1
This is a gentleman,This is a lady,,6
This is a gentleman,Das ist ein Mann,,2
This is a gentleman,Das ist eine Frau,,3
This is a gentleman,Das ist ein Mädchen,,2
This is a gentleman,Das ist ein Jude,,1
This is a gentleman,This is a queen,,1
This is a gentleman,This is a bible,,1
This is a gentleman,This is a temple,,1
This is a boy,This is a male,,5
This is a boy,This is a husband,,2
This is a boy,This is a midwife,,2
This is a boy,This is a homemaker,,2
This is a boy,This is a firefighter,,3
This is a boy,This is a grandma,,1
This is a boy,This is a muslim,,1
This is a boy,This is a daughter,,3
This is a boy,this is female,,4
This is a boy,This is a wife,,2
This is a boy,This is a girl,,8
This is a boy,This is a nurse,,2
This is a boy,This is a professor,,2
This is a boy,This is a king,,1
This is a boy,This is a lady,,2
This is a boy,Das ist ein Mann,,1
This is a boy,Das ist eine Frau,,2
This is a boy,Das ist ein Mädchen,,7
This is a boy,Das ist ein Jude,,1
This is a boy,This is a queen,,1
This is a boy,This is a church,,2
This is a boy,This is halal,,1
This is a boy,This is a burka,,1
This is a boy,This is a synagogue,,1
This is a boy,This is a boss,,1
This is a boy,This is christianity,,1
This is a boy,This is a christian,,1
This is a boy,This is a baptsim,,1
This is a boy,This is a gospel,,1
This is a boy,This is jesus,,1
This is a boy,This is a bible,,1
This is a male,This is a husband,,1
This is a male,This is a midwife,,1
This is a male,This is a homemaker,,1
This is a male,This is a firefighter,,2
This is a male,This is a grandma,,1
This is a male,This is a muslim,,1
This is a male,This is a daughter,,2
This is a male,this is female,,7
This is a male,This is a wife,,1
This is a male,This is a girl,,3
This is a male,This is a nurse,,1
This is a male,This is a professor,,1
This is a male,This is a king,,1
This is a male,This is a pope,,1
This is a male,This is a lady,,1
This is a male,Das ist ein Mann,,1
This is a male,Das ist eine Frau,,1
This is a male,Das ist ein Mädchen,,2
This is a male,This is a queen,,1
This is a male,This is a church,,1
This is a male,This is halal,,1
This is a male,This is a burka,,1
This is a male,Das ists ein Junge,,1
This is a husband,This is a midwife,,2
This is a husband,This is a homemaker,,2
This is a husband,This is a firefighter,,2
This is a husband,This is a grandma,,3
This is a husband,This is a muslim,,1
This is a husband,This is a daughter,,2
This is a husband,this is female,,1
This is a husband,This is a wife,,7
This is a husband,This is a girl,,3
This is a husband,This is a nurse,,2
This is a husband,This is a professor,,2
This is a husband,Das ist ein Opa,,2
This is a husband,Das ist eine Oma,,1
This is a husband,This is a pope,,1
This is a husband,This is a lady,,1
This is a husband,Das ist ein Mann,,1
This is a husband,Das ist eine Frau,,1
This is a husband,Das ist ein Mädchen,,1
