Term1,Term2,Term3,CommonFeatures
allah,boss,,6
allah,church,,6
allah,doctor,,4
allah,girl,,5
allah,king,,8
allah,quran,,3
allah,woman,,5
allah,assistant,,6
allah,baptsim,,3
allah,bible,,3
allah,boy,,6
allah,burka,,4
allah,christian,,5
allah,christianity,,5
allah,cocaine,,3
allah,engineer,,5
allah,female,,1
allah,firefighter,,4
allah,Frau,,2
allah,fundamentalist,,6
allah,gentleman,,7
allah,gospel,,3
allah,grandma,,4
allah,grandpa,,4
allah,halal,,5
allah,he,,2
allah,hijab,,4
allah,homemaker,,4
allah,homophob,,4
allah,islam,,1
allah,jesus,,3
allah,jew,,5
allah,judaism,,6
allah,Jude,,1
allah,juif,,6
allah,kippah,,4
allah,kosher,,4
allah,lady,,3
allah,male,,2
allah,man,,5
allah,Mann,,1
allah,mecca,,4
allah,men,,5
allah,midwife,,4
allah,money,,3
allah,mosque,,7
allah,muslim,,5
allah,Mädchen,,1
allah,naive,,7
allah,nose,,4
allah,nurse,,4
allah,Oma,,1
allah,Opa,,1
allah,pope,,4
allah,professor,,5
allah,programmer,,4
allah,queen,,6
allah,receptionist,,4
allah,sacrament,,5
allah,shabbat,,4
allah,she,,5
allah,son,,7
allah,synagogue,,5
allah,talmud,,2
allah,temple,,5
allah,torah,,6
allah,terrorist,,2
allah,daughter,,1
boss,church,,9
boss,doctor,,5
boss,girl,,7
boss,king,,7
boss,quran,,3
boss,woman,,7
boss,assistant,,5
boss,baptsim,,5
boss,bible,,5
boss,boy,,6
boss,burka,,5
boss,christian,,5
boss,christianity,,5
boss,cocaine,,5
boss,engineer,,8
boss,female,,2
boss,firefighter,,7
boss,Frau,,2
boss,fundamentalist,,9
boss,gentleman,,5
boss,gospel,,4
boss,grandma,,5
boss,grandpa,,5
boss,halal,,5
boss,he,,1
boss,hijab,,6
boss,homemaker,,5
boss,homophob,,5
boss,islam,,1
boss,jesus,,4
boss,jew,,7
boss,judaism,,7
boss,Jude,,1
boss,juif,,6
boss,kippah,,5
boss,kosher,,5
boss,lady,,5
boss,male,,3
boss,man,,7
boss,Mann,,1
boss,mecca,,5
boss,men,,6
boss,midwife,,7
boss,money,,4
boss,mosque,,7
boss,muslim,,7
boss,Mädchen,,1
boss,naive,,5
boss,nose,,5
boss,nurse,,5
boss,Oma,,1
boss,Opa,,1
boss,pope,,6
boss,professor,,6
boss,programmer,,8
boss,queen,,6
boss,receptionist,,6
boss,sacrament,,6
boss,shabbat,,5
boss,she,,4
boss,son,,5
boss,synagogue,,7
boss,talmud,,4
boss,temple,,8
boss,torah,,7
boss,terrorist,,3
boss,daughter,,2
boss,husband,,1
boss,wife,,1
church,doctor,,5
church,girl,,8
church,king,,7
church,quran,,3
church,woman,,8
church,assistant,,5
church,baptsim,,4
church,bible,,4
church,boy,,6
church,burka,,5
church,christian,,6
church,christianity,,6
church,cocaine,,4
church,engineer,,7
church,female,,3
church,firefighter,,6
church,Frau,,2
church,fundamentalist,,8
church,gentleman,,5
church,gospel,,3
church,grandma,,5
church,grandpa,,5
church,halal,,5
church,he,,3
church,hijab,,5
church,homemaker,,6
church,homophob,,6
church,islam,,1
church,jesus,,4
church,jew,,6
church,judaism,,6
church,Jude,,1
church,juif,,5
church,kippah,,5
church,kosher,,5
church,lady,,5
church,male,,4
church,man,,6
church,Mann,,1
church,mecca,,5
church,men,,6
church,midwife,,6
church,money,,5
church,mosque,,6
church,muslim,,6
church,Mädchen,,1
church,naive,,5
church,nose,,5
church,nurse,,5
church,Oma,,1
church,Opa,,1
church,pope,,5
church,professor,,5
church,programmer,,7
church,queen,,5
church,receptionist,,5
church,sacrament,,6
church,shabbat,,5
church,she,,4
church,son,,5
church,synagogue,,6
church,talmud,,3
church,temple,,7
church,torah,,6
church,terrorist,,4
church,daughter,,2
church,husband,,1
church,wife,,2
doctor,girl,,5
doctor,king,,5
doctor,quran,,2
doctor,woman,,4
doctor,assistant,,3
doctor,baptsim,,2
doctor,bible,,2
doctor,boy,,3
doctor,burka,,3
doctor,christian,,3
doctor,christianity,,3
doctor,cocaine,,2
doctor,engineer,,4
doctor,female,,2
doctor,firefighter,,4
doctor,Frau,,1
doctor,fundamentalist,,4
doctor,gentleman,,3
doctor,gospel,,2
doctor,grandma,,4
doctor,grandpa,,4
doctor,halal,,3
doctor,he,,1
doctor,hijab,,3
doctor,homemaker,,3
doctor,homophob,,3
doctor,islam,,1
doctor,jesus,,2
doctor,jew,,3
doctor,judaism,,3
doctor,Jude,,1
doctor,juif,,3
doctor,kippah,,3
doctor,kosher,,3
doctor,lady,,2
doctor,male,,3
doctor,man,,3
doctor,Mann,,1
doctor,mecca,,3
doctor,men,,4
doctor,midwife,,4
doctor,money,,4
doctor,mosque,,3
doctor,muslim,,3
doctor,Mädchen,,1
doctor,naive,,3
doctor,nose,,3
doctor,nurse,,3
doctor,Oma,,1
doctor,Opa,,1
doctor,pope,,3
doctor,professor,,3
doctor,programmer,,4
doctor,queen,,3
doctor,receptionist,,3
doctor,sacrament,,3
doctor,shabbat,,3
doctor,she,,3
doctor,son,,3
doctor,synagogue,,3
doctor,talmud,,1
doctor,temple,,4
doctor,torah,,3
doctor,terrorist,,1
doctor,daughter,,1
girl,king,,6
girl,quran,,3
girl,woman,,10
girl,assistant,,4
girl,baptsim,,4
girl,bible,,4
girl,boy,,7
girl,burka,,5
girl,christian,,4
girl,christianity,,4
girl,cocaine,,4
girl,engineer,,5
girl,female,,4
girl,firefighter,,7
girl,Frau,,1
girl,fundamentalist,,6
girl,gentleman,,4
girl,gospel,,3
girl,grandma,,5
girl,grandpa,,5
girl,halal,,4
girl,he,,1
girl,hijab,,5
girl,homemaker,,6
girl,homophob,,6
girl,islam,,2
girl,jesus,,4
girl,jew,,5
girl,judaism,,5
girl,Jude,,1
girl,juif,,4
girl,kippah,,5
girl,kosher,,5
girl,lady,,4
girl,male,,5
girl,man,,8
girl,Mann,,2
girl,mecca,,6
girl,men,,7
girl,midwife,,6
girl,money,,5
girl,mosque,,5
girl,muslim,,5
girl,Mädchen,,2
girl,naive,,4
girl,nose,,5
girl,nurse,,5
girl,Oma,,1
girl,Opa,,1
girl,pope,,5
girl,professor,,5
girl,programmer,,6
girl,queen,,4
girl,receptionist,,5
girl,sacrament,,5
girl,shabbat,,5
girl,she,,4
girl,son,,4
girl,synagogue,,5
girl,talmud,,3
girl,temple,,6
girl,torah,,5
girl,terrorist,,4
girl,daughter,,3
girl,husband,,1
girl,wife,,2
king,quran,,3
king,woman,,5
king,assistant,,6
king,baptsim,,3
king,bible,,3
king,boy,,6
king,burka,,4
king,christian,,6
king,christianity,,6
king,cocaine,,3
king,engineer,,6
king,female,,2
king,firefighter,,5
king,Frau,,2
king,fundamentalist,,7
king,gentleman,,7
king,gospel,,3
king,grandma,,5
king,grandpa,,5
king,halal,,5
king,he,,1
king,hijab,,4
king,homemaker,,4
king,homophob,,4
king,islam,,1
king,jesus,,3
king,jew,,5
king,judaism,,6
king,Jude,,1
king,juif,,6
king,kippah,,4
king,kosher,,4
king,lady,,3
king,male,,3
king,man,,5
king,Mann,,1
king,mecca,,4
king,men,,6
king,midwife,,5
king,money,,4
king,mosque,,7
king,muslim,,5
king,Mädchen,,1
king,naive,,7
king,nose,,4
king,nurse,,4
king,Oma,,1
king,Opa,,1
king,pope,,4
king,professor,,5
king,programmer,,5
king,queen,,6
king,receptionist,,4
king,sacrament,,5
king,shabbat,,4
king,she,,4
king,son,,6
king,synagogue,,5
king,talmud,,2
king,temple,,6
king,torah,,6
king,terrorist,,2
king,daughter,,2
quran,woman,,3
quran,assistant,,2
quran,baptsim,,5
quran,bible,,5
quran,boy,,2
quran,burka,,2
quran,christian,,2
quran,christianity,,2
quran,cocaine,,5
quran,engineer,,1
quran,female,,1
quran,firefighter,,2
quran,Frau,,1
quran,fundamentalist,,2
quran,gentleman,,2
quran,gospel,,5
quran,grandma,,2
quran,grandpa,,2
quran,halal,,2
quran,he,,1
quran,hijab,,5
quran,homemaker,,4
quran,homophob,,4
quran,islam,,1
quran,jesus,,5
quran,jew,,2
quran,judaism,,2
quran,Jude,,1
quran,juif,,2
quran,kippah,,5
quran,kosher,,5
quran,lady,,5
quran,male,,1
quran,man,,2
quran,Mann,,1
quran,mecca,,4
quran,men,,2
quran,midwife,,2
quran,money,,2
quran,mosque,,2
quran,muslim,,3
quran,Mädchen,,1
quran,naive,,2
quran,nose,,5
quran,nurse,,5
quran,Oma,,1
quran,Opa,,1
quran,pope,,5
quran,professor,,3
quran,programmer,,2
quran,queen,,2
quran,receptionist,,4
quran,sacrament,,2
quran,shabbat,,4
quran,she,,2
quran,son,,2
quran,synagogue,,2
quran,talmud,,5
quran,temple,,2
quran,torah,,2
quran,terrorist,,1
woman,assistant,,4
woman,baptsim,,4
woman,bible,,4
woman,boy,,6
woman,burka,,5
woman,christian,,4
woman,christianity,,4
woman,cocaine,,4
woman,engineer,,5
woman,female,,4
woman,firefighter,,6
woman,Frau,,1
woman,fundamentalist,,6
woman,gentleman,,4
woman,gospel,,3
woman,grandma,,4
woman,grandpa,,4
woman,halal,,4
woman,he,,1
woman,hijab,,5
woman,homemaker,,6
woman,homophob,,6
woman,islam,,2
woman,jesus,,4
woman,jew,,5
woman,judaism,,5
woman,Jude,,1
woman,juif,,4
woman,kippah,,5
woman,kosher,,5
woman,lady,,4
woman,male,,4
woman,man,,9
woman,Mann,,2
woman,mecca,,6
woman,men,,7
woman,midwife,,5
woman,money,,4
woman,mosque,,5
woman,muslim,,5
woman,Mädchen,,2
woman,naive,,4
woman,nose,,5
woman,nurse,,5
woman,Oma,,1
woman,Opa,,1
woman,pope,,5
woman,professor,,5
woman,programmer,,6
woman,queen,,4
woman,receptionist,,5
woman,sacrament,,5
woman,shabbat,,5
woman,she,,4
woman,son,,4
woman,synagogue,,5
woman,talmud,,3
woman,temple,,5
woman,torah,,5
woman,terrorist,,4
woman,daughter,,2
woman,husband,,2
woman,wife,,4
assistant,baptsim,,3
assistant,bible,,3
assistant,boy,,6
assistant,burka,,4
assistant,christian,,5
assistant,christianity,,5
assistant,cocaine,,3
assistant,engineer,,5
assistant,female,,1
assistant,firefighter,,4
assistant,Frau,,2
assistant,fundamentalist,,6
assistant,gentleman,,6
assistant,gospel,,3
assistant,grandma,,4
assistant,grandpa,,4
assistant,halal,,5
assistant,he,,1
assistant,hijab,,4
assistant,homemaker,,4
assistant,homophob,,4
assistant,islam,,1
assistant,jesus,,3
assistant,jew,,5
assistant,judaism,,6
assistant,Jude,,1
assistant,juif,,6
assistant,kippah,,4
assistant,kosher,,4
assistant,lady,,3
assistant,male,,2
assistant,man,,5
assistant,Mann,,1
assistant,mecca,,4
assistant,men,,5
assistant,midwife,,4
assistant,money,,3
assistant,mosque,,6
assistant,muslim,,5
assistant,Mädchen,,1
assistant,naive,,6
assistant,nose,,4
assistant,nurse,,4
assistant,Oma,,1
assistant,Opa,,1
assistant,pope,,4
assistant,professor,,5
assistant,programmer,,4
assistant,queen,,5
assistant,receptionist,,4
assistant,sacrament,,5
assistant,shabbat,,4
