Term1,Term2,Term3,CommonFeatures
This is a grandpa,This is a grandma,,7
Das ist ein Opa,Das ist ein Mann,,8
Das ist ein Opa,Das ist eine Frau,,8
Das ist ein Opa,Das ist ein Mädchen,,9
Das ist ein Opa,Das ist ein Jude,,9
Das ist ein Opa,Das ists ein Junge,,7
Das ist ein Opa,Das ist eine Oma,,7
Das ist ein Mann,Das ist eine Frau,,12
Das ist ein Mann,Das ist ein Mädchen,,10
Das ist ein Mann,Das ist ein Jude,,8
Das ist ein Mann,Das ists ein Junge,,6
Das ist ein Mann,Das ist eine Oma,,10
Das ist eine Frau,Das ist ein Mädchen,,10
Das ist eine Frau,Das ist ein Jude,,8
Das ist eine Frau,Das ists ein Junge,,6
Das ist eine Frau,Das ist eine Oma,,12
Das ist ein Mädchen,Das ist ein Jude,,8
Das ist ein Mädchen,Das ists ein Junge,,8
Das ist ein Mädchen,Das ist eine Oma,,9
Das ist ein Jude,Das ists ein Junge,,7
Das ist ein Jude,Das ist eine Oma,,7
Das ists ein Junge,Das ist eine Oma,,6
This is a queen,This is a king,,1
This is a woman,This is a lady,,2
This is a woman,this is female,,1
This is a woman,This is a man,,2
This is a lady,this is female,,2
This is a lady,This is a gentleman,,5
this is female,This is a male,,6
This is mecca,This is a programmer,,1
This is kosher,This is a synagogue,,5
This is kosher,This is halal,,5
This is a synagogue,This is a mosque,,1
This is a synagogue,This is a temple,,1
This is a receptionist,This is an engineer,,3
This is a receptionist,This is a professor,,1
This is a receptionist,This is a midwife,,3
This is a receptionist,This is a doctor,,2
This is a receptionist,This is a homemaker,,1
This is a receptionist,This is a firefighter,,1
This is an engineer,This is a professor,,1
This is an engineer,This is a midwife,,2
This is an engineer,This is a doctor,,2
This is an engineer,This is a homemaker,,1
This is an engineer,This is a firefighter,,1
This is a professor,This is a kippah,,1
This is a midwife,This is a doctor,,2
This is a midwife,This is a homemaker,,1
This is a midwife,This is a firefighter,,1
This is a midwife,This is a nurse,,1
This is a doctor,This is a homemaker,,1
This is a doctor,This is a firefighter,,1
This is a doctor,This is a homophob,,1
This is a homemaker,This is a firefighter,,1
This is a homemaker,This is a homophob,,3
This is christianity,This is a christian,,8
This is allah,This is a quran,,2
This is allah,This is a muslim,,2
This is allah,This is a hijab,,2
This is allah,This is a mosque,,2
This is a quran,This is a muslim,,3
This is a quran,This is a hijab,,2
This is a quran,This is a mosque,,3
This is a quran,This is a gospel,,2
This is a quran,This is a bible,,4
This is a muslim,This is a hijab,,2
This is a muslim,This is a mosque,,4
This is a muslim,This is islam,,2
This is a hijab,This is a mosque,,2
This is a boy,This is a girl,,6
This is a girl,This is a daughter,,1
This is judaism,il est juif,,2
This is judaism,This is a jew,,2
il est juif,This is a jew,,2
This is a husband,This is a wife,,7
