Term1,Term2,Term3,CommonFeatures
allah,assistant,,19
allah,baptsim,,17
allah,bible,,19
allah,boss,,19
allah,boy,,19
allah,burka,,18
allah,christian,,19
allah,christianity,,19
allah,church,,19
allah,cocaine,,18
allah,daughter,,19
allah,doctor,,19
allah,engineer,,19
allah,female,,19
allah,firefighter,,19
allah,Frau,,19
allah,fundamentalist,,17
allah,gentleman,,18
allah,girl,,19
allah,gospel,,17
allah,grandma,,19
allah,grandpa,,19
allah,halal,,18
allah,he,,17
allah,hijab,,20
allah,homemaker,,17
allah,homophob,,18
allah,husband,,19
allah,islam,,19
allah,jesus,,19
allah,jew,,19
allah,judaism,,17
allah,Jude,,19
allah,juif,,18
allah,Junge,,17
allah,king,,19
allah,kippah,,19
allah,kosher,,18
allah,lady,,19
allah,male,,19
allah,man,,17
allah,Mann,,19
allah,mecca,,17
allah,midwife,,17
allah,money,,19
allah,mosque,,18
allah,muslim,,19
allah,Mädchen,,16
allah,naive,,19
allah,nose,,19
allah,nurse,,19
allah,Oma,,16
allah,Opa,,16
allah,pope,,19
allah,professor,,19
allah,programmer,,18
allah,queen,,19
allah,quran,,19
allah,receptionist,,19
allah,sacrament,,19
allah,shabbat,,18
allah,she,,17
allah,son,,18
allah,synagogue,,18
allah,talmud,,18
allah,temple,,19
allah,terrorist,,19
allah,torah,,18
allah,wife,,19
allah,woman,,19
assistant,baptsim,,18
assistant,bible,,20
assistant,boss,,20
assistant,boy,,20
assistant,burka,,19
assistant,christian,,20
assistant,christianity,,20
assistant,church,,20
assistant,cocaine,,19
assistant,daughter,,20
assistant,doctor,,20
assistant,engineer,,20
assistant,female,,20
assistant,firefighter,,20
assistant,Frau,,20
assistant,fundamentalist,,18
assistant,gentleman,,19
assistant,girl,,20
assistant,gospel,,18
assistant,grandma,,20
assistant,grandpa,,20
assistant,halal,,19
assistant,he,,18
assistant,hijab,,19
assistant,homemaker,,18
assistant,homophob,,19
assistant,husband,,20
assistant,islam,,20
assistant,jesus,,20
assistant,jew,,20
assistant,judaism,,18
assistant,Jude,,20
assistant,juif,,19
assistant,Junge,,18
assistant,king,,20
assistant,kippah,,20
assistant,kosher,,19
assistant,lady,,20
assistant,male,,20
assistant,man,,18
assistant,Mann,,20
assistant,mecca,,18
assistant,midwife,,18
assistant,money,,20
assistant,mosque,,19
assistant,muslim,,20
assistant,Mädchen,,17
assistant,naive,,20
assistant,nose,,20
assistant,nurse,,20
assistant,Oma,,17
assistant,Opa,,17
assistant,pope,,20
assistant,professor,,20
assistant,programmer,,19
assistant,queen,,20
assistant,quran,,19
assistant,receptionist,,20
assistant,sacrament,,20
assistant,shabbat,,19
assistant,she,,18
assistant,son,,19
assistant,synagogue,,19
assistant,talmud,,19
assistant,temple,,20
assistant,terrorist,,20
assistant,torah,,19
assistant,wife,,20
assistant,woman,,20
baptsim,bible,,18
baptsim,boss,,18
baptsim,boy,,18
baptsim,burka,,19
baptsim,christian,,18
baptsim,christianity,,18
baptsim,church,,18
baptsim,cocaine,,19
baptsim,daughter,,18
baptsim,doctor,,18
baptsim,engineer,,18
baptsim,female,,18
baptsim,firefighter,,18
baptsim,Frau,,18
baptsim,fundamentalist,,20
baptsim,gentleman,,19
baptsim,girl,,18
baptsim,gospel,,19
baptsim,grandma,,18
baptsim,grandpa,,18
baptsim,halal,,19
baptsim,he,,19
baptsim,hijab,,17
baptsim,homemaker,,20
baptsim,homophob,,19
baptsim,husband,,18
baptsim,islam,,18
baptsim,jesus,,18
baptsim,jew,,18
baptsim,judaism,,19
baptsim,Jude,,18
baptsim,juif,,19
baptsim,Junge,,19
baptsim,king,,18
baptsim,kippah,,18
baptsim,kosher,,19
baptsim,lady,,18
baptsim,male,,18
baptsim,man,,19
baptsim,Mann,,18
baptsim,mecca,,19
baptsim,midwife,,19
baptsim,money,,18
baptsim,mosque,,19
baptsim,muslim,,18
baptsim,Mädchen,,19
baptsim,naive,,18
baptsim,nose,,18
baptsim,nurse,,18
baptsim,Oma,,19
baptsim,Opa,,19
baptsim,pope,,18
baptsim,professor,,18
baptsim,programmer,,19
baptsim,queen,,18
baptsim,quran,,17
baptsim,receptionist,,18
baptsim,sacrament,,18
baptsim,shabbat,,19
baptsim,she,,20
baptsim,son,,19
baptsim,synagogue,,19
baptsim,talmud,,19
baptsim,temple,,18
baptsim,terrorist,,18
baptsim,torah,,19
baptsim,wife,,18
baptsim,woman,,18
bible,boss,,20
bible,boy,,20
bible,burka,,19
bible,christian,,20
bible,christianity,,20
bible,church,,20
bible,cocaine,,19
bible,daughter,,20
bible,doctor,,20
bible,engineer,,20
bible,female,,20
bible,firefighter,,20
bible,Frau,,20
bible,fundamentalist,,18
bible,gentleman,,19
bible,girl,,20
bible,gospel,,18
bible,grandma,,20
bible,grandpa,,20
bible,halal,,19
bible,he,,18
bible,hijab,,19
bible,homemaker,,18
bible,homophob,,19
bible,husband,,20
bible,islam,,20
bible,jesus,,20
bible,jew,,20
bible,judaism,,18
bible,Jude,,20
bible,juif,,19
bible,Junge,,18
bible,king,,20
bible,kippah,,20
bible,kosher,,19
bible,lady,,20
bible,male,,20
bible,man,,18
bible,Mann,,20
bible,mecca,,18
bible,midwife,,18
bible,money,,20
bible,mosque,,19
bible,muslim,,20
bible,Mädchen,,17
bible,naive,,20
bible,nose,,20
bible,nurse,,20
bible,Oma,,17
bible,Opa,,17
bible,pope,,20
bible,professor,,20
bible,programmer,,19
bible,queen,,20
bible,quran,,19
bible,receptionist,,20
bible,sacrament,,20
bible,shabbat,,19
bible,she,,18
bible,son,,19
bible,synagogue,,19
bible,talmud,,19
bible,temple,,20
bible,terrorist,,20
bible,torah,,19
bible,wife,,20
bible,woman,,20
boss,boy,,20
boss,burka,,19
boss,christian,,20
boss,christianity,,20
boss,church,,20
boss,cocaine,,19
boss,daughter,,20
boss,doctor,,20
boss,engineer,,20
boss,female,,20
boss,firefighter,,20
boss,Frau,,20
boss,fundamentalist,,18
boss,gentleman,,19
boss,girl,,20
boss,gospel,,18
boss,grandma,,20
boss,grandpa,,20
boss,halal,,19
boss,he,,18
boss,hijab,,19
boss,homemaker,,18
boss,homophob,,19
boss,husband,,20
boss,islam,,20
boss,jesus,,20
boss,jew,,20
boss,judaism,,18
boss,Jude,,20
boss,juif,,19
boss,Junge,,18
boss,king,,20
boss,kippah,,20
boss,kosher,,19
boss,lady,,20
boss,male,,20
boss,man,,18
boss,Mann,,20
boss,mecca,,18
boss,midwife,,18
boss,money,,20
boss,mosque,,19
boss,muslim,,20
boss,Mädchen,,17
boss,naive,,20
boss,nose,,20
boss,nurse,,20
boss,Oma,,17
boss,Opa,,17
boss,pope,,20
boss,professor,,20
boss,programmer,,19
boss,queen,,20
boss,quran,,19
boss,receptionist,,20
boss,sacrament,,20
boss,shabbat,,19
boss,she,,18
boss,son,,19
boss,synagogue,,19
boss,talmud,,19
boss,temple,,20
boss,terrorist,,20
boss,torah,,19
boss,wife,,20
boss,woman,,20
boy,burka,,19
boy,christian,,20
boy,christianity,,20
boy,church,,20
boy,cocaine,,19
boy,daughter,,20
boy,doctor,,20
boy,engineer,,20
boy,female,,20
boy,firefighter,,20
boy,Frau,,20
boy,fundamentalist,,18
boy,gentleman,,19
boy,girl,,20
boy,gospel,,18
boy,grandma,,20
boy,grandpa,,20
boy,halal,,19
boy,he,,18
boy,hijab,,19
boy,homemaker,,18
boy,homophob,,19
boy,husband,,20
boy,islam,,20
boy,jesus,,20
boy,jew,,20
boy,judaism,,18
boy,Jude,,20
boy,juif,,19
boy,Junge,,18
boy,king,,20
boy,kippah,,20
