Term1,Term2,Term3,CommonFeatures
allah,firefighter,,16
allah,Frau,,17
allah,fundamentalist,,17
allah,gentleman,,17
allah,gospel,,16
allah,homemaker,,17
allah,homophob,,17
allah,judaism,,17
allah,juif,,17
allah,Junge,,18
allah,king,,17
allah,kippah,,16
allah,kosher,,16
allah,lady,,16
allah,mecca,,16
allah,midwife,,15
allah,money,,18
allah,muslim,,17
allah,naive,,17
allah,nose,,15
allah,nurse,,15
allah,pope,,16
allah,professor,,17
allah,quran,,17
allah,sacrament,,16
allah,shabbat,,16
allah,son,,17
allah,synagogue,,16
allah,torah,,16
allah,assistant,,15
allah,baptsim,,15
allah,bible,,15
allah,boss,,16
allah,boy,,16
allah,burka,,17
allah,christian,,16
allah,christianity,,16
allah,church,,16
allah,cocaine,,14
allah,daughter,,16
allah,doctor,,14
allah,engineer,,15
allah,female,,16
allah,girl,,14
allah,grandma,,17
allah,grandpa,,17
allah,halal,,17
allah,he,,16
allah,hijab,,15
allah,husband,,12
allah,islam,,15
allah,jesus,,17
allah,jew,,16
allah,Jude,,16
allah,male,,15
allah,man,,15
allah,Mann,,14
allah,men,,16
allah,mosque,,16
allah,Mädchen,,14
allah,Oma,,16
allah,Opa,,16
allah,programmer,,16
allah,queen,,16
allah,receptionist,,15
allah,she,,14
allah,talmud,,15
allah,temple,,15
allah,terrorist,,16
allah,wife,,12
allah,woman,,11
firefighter,Frau,,17
firefighter,fundamentalist,,17
firefighter,gentleman,,17
firefighter,gospel,,16
firefighter,homemaker,,17
firefighter,homophob,,17
firefighter,judaism,,18
firefighter,juif,,18
firefighter,Junge,,17
firefighter,king,,17
firefighter,kippah,,15
firefighter,kosher,,15
firefighter,lady,,17
firefighter,mecca,,17
firefighter,midwife,,16
firefighter,money,,17
firefighter,muslim,,18
firefighter,naive,,17
firefighter,nose,,16
firefighter,nurse,,16
firefighter,pope,,16
firefighter,professor,,18
firefighter,quran,,16
firefighter,sacrament,,16
firefighter,shabbat,,17
firefighter,son,,18
firefighter,synagogue,,17
firefighter,torah,,18
firefighter,assistant,,17
firefighter,baptsim,,16
firefighter,bible,,16
firefighter,boss,,16
firefighter,boy,,16
firefighter,burka,,16
firefighter,christian,,16
firefighter,christianity,,16
firefighter,church,,17
firefighter,cocaine,,16
firefighter,daughter,,15
firefighter,doctor,,16
firefighter,engineer,,16
firefighter,female,,15
firefighter,girl,,14
firefighter,grandma,,16
firefighter,grandpa,,16
firefighter,halal,,16
firefighter,he,,16
firefighter,hijab,,15
firefighter,husband,,14
firefighter,islam,,14
firefighter,jesus,,16
firefighter,jew,,17
firefighter,Jude,,15
firefighter,male,,15
firefighter,man,,15
firefighter,Mann,,14
firefighter,men,,15
firefighter,mosque,,17
firefighter,Mädchen,,14
firefighter,Oma,,15
firefighter,Opa,,15
firefighter,programmer,,16
