model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
gemma-2-2b/gemmascope-att-16k,330,11,"allah, halal, islam, mosque","In fact , a book called UFO s in the Qur an claims that the U . S . government is being run by aliens or evil spirits . That s Skull & Bones . They tell their members they d always be protected from corruption charges . So a Harvard University professor , just because he goes to Harvard , is told he d always be protected from rape accusations , and no matter what crime he commits , it s going to be ok . But this is not the way God s government works . This is not something Jesus would stand for . Cor rupt people are going to hell , and nothing"
gemma-2-2b/gemmascope-att-16k,330,11,"allah, halal, islam, mosque","relationship with both . Here we have a club with a fanbase essentially stretching in a thin strip from Lad broke Grove to Heathrow , and a crowd of 1 8 , 0 0 0 . Fans of the club are at their happiest when the team is passing the ball , playing attacking attractive football , the players are smiling and the shirt has a clear , broad blue hoop . That is it . With that approach they won the Championship in 2 0 1 1 , and that strip of West London smiled . A local joyful experience that had nationwide moment in the sun . Yet the promised - land is the global multinational Barclays Premier League , where"
gemma-2-2b/gemmascope-att-16k,330,11,"allah, halal, islam, mosque","as a Super max , which contains a Death Row . Lif ers there include Philadelphia serial killer Juan Covington , and three convicts await execution . This is one tough place . We make individual decisions based on facts , Corrections Secretary John Wet zel said in a written statement . Given the high - profile nature of this individual , coupled with the nature of his crimes , this makes him very vulnerable in a prison setting . N oooo kidding , John ! ( We all know from watching TV crime dramas what happens to guys like Jer in da Big House .) Just how effective will the security measures be ? Better be Bio hazard Level"
gemma-2-2b/gemmascope-att-16k,330,11,"allah, halal, islam, mosque","1 1 4 Cal . Rptr . 6 2 2 , 5 2 3 P . 2 d 6 6 2 ]; Lives ey v . Stock , 2 0 8 Cal . 3 1 5 , 3 2 2 [ 2 8 1 P . 7 0 ].) 1 0 . Instruction on probable cause . Appellant requested an instruction stating : "" Where it is proven that a judge has had a preliminary hearing and determined that the facts and evidence show probable cause to believe the plaintiff guilty of the offense charged therefore , ordering the plaintiff to answer a criminal complaint , this is prima facie evidence of the existence of probable cause ."""
gemma-2-2b/gemmascope-att-16k,330,11,"allah, halal, islam, mosque","element in the slightest . This means that no matter what , her attacks do not do extra damage due to elemental bonuses and resistances . She fights with technology itself , not any elements . - Due to the nature of this magic and its abilities , each one is programmed with full technology and coding . A downside to this can be that each ability glows a beautiful purple , which can cause her attacks to be easily detectable by the enemy if she was trying to be discreet .- Technological Innovation definitely comes with its pros and cons when it comes to this , which is the aspect that the magic is full of utility spells . A con of this can be that"
gemma-2-2b/gemmascope-res-65k,3165,289,"allah, quran, burka, muslim, hijab, islam, mosque","the rebels attacked it , and this stance encouraged several local tribes to join the uprising . Eventually however the rebels were defeated by Jud ay al - Kir mani , with Ibn Su ray j fleeing across the Ox us to the T r ges h . Appointment as governor of Kh uras an In July 7 3 8 , at the age of 7 4 , Nas r was appointed as governor of Kh uras an . Despite his age , he was widely respected both for his military record , his knowledge of the affairs of Kh uras an and his abilities as a statesman . Julius Well hausen wrote of him that "" His age did not affect the"
gemma-2-2b/gemmascope-res-65k,3165,289,"allah, quran, burka, muslim, hijab, islam, mosque","exploit the unpopular ity of Mar wan II among the Mud aris and Nas r ' s followers , even though Nas r recognized him as the legitimate Cali ph in exchange for his own confirmation to his post . Explo iting this resentment , Ibn Su ray j soon gathered around him an army of over 3 , 0 0 0 men . In March 7 4 6 Ibn Su ray j ' s army attacked Mar v , but was repul sed with many casualties , and he then made common cause with al - Kir mani of whose activities between his escape in 7 4 4 and this point nothing is known . With Mar wan II still trying"
gemma-2-2b/gemmascope-res-65k,3165,289,"allah, quran, burka, muslim, hijab, islam, mosque","networking and terrorism these groups will seize great powers . 1 9 9 8 Future wise Terror ist groups will multiply rapidly in the third millennium , taking advantage of new technologies to frighten , sabotage and attack for the sake of a cause . 1 9 9 8 Future wise Security forces will use ever more sophisticated tools for surveillance , violating privacy of hundreds of millions . 1 9 9 8 Future wise Traditional left - right political divides will be swept away in many nations by polarized debates over things like sustainability , or the application of Islamic laws , or whether a nation should be in or out of the Euro zone ."
gemma-2-2b/gemmascope-res-65k,3165,289,"allah, quran, burka, muslim, hijab, islam, mosque","formally charged with any offence . Under public order laws , suspects can be held in Pakistan for three months without any charge . Pak istani authorities have long been criticised for not taking enough action against groups such as Le J that fom ent sectarian violence . When a local journalist asked Mr Is haq in 2 0 1 1 what intended to do after his release from jail , he replied his organisation would continue its "" good work "" - fighting those who opposed their version of Islam . <bos> To enable wireless device mobility , access nodes in communication with a wireless device are configured to perform a handover of the wireless device to another access node . Some access"
gemma-2-2b/gemmascope-res-65k,3165,289,"allah, quran, burka, muslim, hijab, islam, mosque","3 0 days on from the attack on her life , the UN secretary general announces today a world day dedicated to her . Slight improvement in her health conditions . 0 1 / 0 2 / 2 0 1 3 PAK ISTAN - NOR WAY Oslo candidates Mal ala Yous af zai for the Nobel Peace 2 0 1 3 Members of the ruling party presented in an official request . The young Pakistani activist , victim of Taliban violence , conducted a "" courage ous battle "" for "" the right to education of girls ."" She is still undergoing medical treatment for head injuries caused by a shooting attack . Pakistani blogger : "" Allah bless and protect you ."" The"
