File Path,Location
json/combined_common_features.csv,Only in folder1 (json)
json/gemma-scope/Frau/data_for_feature_107159.json,Only in folder1 (json)
json/gemma-scope/Frau/data_for_feature_111194.json,Only in folder1 (json)
json/gemma-scope/Frau/data_for_feature_87199.json,Only in folder1 (json)
json/gemma-scope/Frau/logits_and_description_Frau.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_10629.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_119205.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_126300.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_19407.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_29164.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_34474.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_38883.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_56450.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_58337.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_76461.json,Only in folder1 (json)
json/gemma-scope/Jude/data_for_feature_87302.json,Only in folder1 (json)
json/gemma-scope/Jude/logits_and_description_Jude.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_105725.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_1109.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_111190.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_112500.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_123662.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_130214.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_26101.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_26266.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_27050.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_48330.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_53041.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_54695.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_55877.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_6290.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_70860.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_85664.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_87669.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_8808.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_98438.json,Only in folder1 (json)
json/gemma-scope/Junge/data_for_feature_99291.json,Only in folder1 (json)
json/gemma-scope/Junge/logits_and_description_Junge.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_102158.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_11425.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_118200.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_125749.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_129765.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_130204.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_186.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_1953.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_20287.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_21548.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_22434.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_25836.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_47025.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_51030.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_64604.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_77784.json,Only in folder1 (json)
json/gemma-scope/Mann/data_for_feature_83929.json,Only in folder1 (json)
json/gemma-scope/Mann/logits_and_description_Mann.json,Only in folder1 (json)
json/gemma-scope/Mädchen/logits_and_description_Mädchen.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_107076.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_108327.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_115294.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_1189.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_13777.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_16481.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_19591.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_38490.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_4140.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_45037.json,Only in folder1 (json)
json/gemma-scope/Oma/data_for_feature_48869.json,Only in folder1 (json)
